bulk_gene_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,Symbol,ensemblID,gene_type,Class,MGI_Symbol,human_gene,gene_upper
ENSG00000163492.14,-0.734597457190224,2.73968767365297,-3.65048242943617,0.0006489994935309,0.194324111510398,-0.449860546433131,CCDC141,ENSG00000163492,protein_coding,InGen,CCDC141,CCDC141,CCDC141
ENSG00000120709.10,-0.142407381121441,5.69435577606043,-3.64064912974432,0.0006686575427441,0.197610013541366,-0.474373712346867,FAM53C,ENSG00000120709,protein_coding,InGen,FAM53C,FAM53C,FAM53C
ENSG00000157870.14,-0.208443027861941,4.69809949696021,-3.63499172887696,0.0006802248433066,0.198451237619053,-0.488461845756932,FAM213B,ENSG00000157870,protein_coding,InGen,FAM213B,FAM213B,FAM213B
ENSG00000130717.12,-0.121599866278655,4.6734225032691,-3.61445745540085,0.0007238428053419,0.20850337820712,-0.539503575085834,UCK1,ENSG00000130717,protein_coding,InGen,UCK1,UCK1,UCK1
ENSG00000229325.1,0.312190721340133,1.77282035106327,3.59956256765125,0.0007571455367937,0.212316138847588,-0.576435615455634,ACAP2-IT1,ENSG00000229325,sense_intronic,InGen,ACAP2-IT1,ACAP2-IT1,ACAP2-IT1
ENSG00000072310.16,-0.274928841960767,6.49901123100858,-3.59726873615581,0.0007624028359207,0.212316138847588,-0.582116276672966,SREBF1,ENSG00000072310,protein_coding,InGen,SREBF1,SREBF1,SREBF1
ENSG00000172375.12,-0.204903675955985,5.28759917271994,-3.59379375054246,0.0007704338984945,0.212316138847588,-0.59071852775957,C2CD2L,ENSG00000172375,protein_coding,InGen,C2CD2L,C2CD2L,C2CD2L
ENSG00000151892.14,0.617846837959277,5.45981877976485,3.59209054908856,0.0007743996978533,0.212316138847588,-0.594933209769295,GFRA1,ENSG00000151892,protein_coding,InGen,GFRA1,GFRA1,GFRA1
ENSG00000259755.1,0.809521469162663,-1.03035998053696,3.58484004827692,0.0007915017957954,0.214421605537144,-0.612863561833734,RP11-505E24.2,ENSG00000259755,antisense,InGen,RP11-505E24.2,RP11-505E24.2,RP11-505E24.2
ENSG00000092098.16,-0.161287791999207,3.48497634354376,-3.57490320162339,0.0008155284505217,0.218331357883199,-0.637406886578374,RNF31,ENSG00000092098,protein_coding,InGen,RNF31,RNF31,RNF31
ENSG00000205356.9,-0.158433362166795,5.63540212499189,-3.56869109384557,0.0008309018017095,0.219860481391886,-0.652732481791956,TECPR1,ENSG00000205356,protein_coding,InGen,TECPR1,TECPR1,TECPR1
ENSG00000271840.1,0.39728301164052,-0.43907002160685,3.5546597993004,0.0008666524116133,0.224990136526441,-0.687297504631604,RP1-224A6.9,ENSG00000271840,lincRNA,InGen,RP1-224A6.9,RP1-224A6.9,RP1-224A6.9
ENSG00000213949.8,0.379061590880571,4.25591445974088,3.55335064754851,0.0008700620501989,0.224990136526441,-0.690518885634027,ITGA1,ENSG00000213949,protein_coding,InGen,ITGA1,ITGA1,ITGA1
ENSG00000255471.1,0.490076429907808,0.88423671690783,3.53952884424103,0.0009068518475145,0.22723265360411,-0.724491840252867,RP11-736K20.5,ENSG00000255471,antisense,InGen,RP11-736K20.5,RP11-736K20.5,RP11-736K20.5
ENSG00000134871.17,0.522861038084614,4.83068580267179,3.53262649499831,0.000925776141876,0.22723265360411,-0.741431307630504,COL4A2,ENSG00000134871,protein_coding,InGen,COL4A2,COL4A2,COL4A2
ENSG00000117480.15,-0.230958107641411,5.03001764068106,-3.52273256327005,0.0009535618494689,0.22723265360411,-0.765682233896978,FAAH,ENSG00000117480,protein_coding,InGen,FAAH,FAAH,FAAH
ENSG00000122512.14,-0.146096368108211,4.87978238943519,-3.52142509413502,0.000957292748674,0.22723265360411,-0.768884274933799,PMS2,ENSG00000122512,protein_coding,InGen,PMS2,PMS2,PMS2
ENSG00000067798.14,-0.236665417234945,6.71040019155671,-3.50975739762422,0.0009912099496436,0.22723265360411,-0.797431034379444,NAV3,ENSG00000067798,protein_coding,InGen,NAV3,NAV3,NAV3
