human_marker_gene,mouse_lhb_region,mean_expr_z,pct_expr
LHb.4: Hs3st4,Oval/Medial,1.1466783,10.52004
LHb.4: Epha3,Hbx,0.11239561,13.066183
LHb.4: Epha3,Lateral,0.2850906,11.862745
LHb.4: Epha3,Marginal,-1.582035,4.1644397
LHb.4: Epha3,Oval/Medial,1.1845487,14.10525
LHb.4: Rph3a,Hbx,-0.85029685,1.7421603
LHb.4: Rph3a,Lateral,-0.748784,2.2549021
LHb.4: Rph3a,Marginal,-0.04830072,3.6839287
LHb.4: Rph3a,Oval/Medial,1.6473818,10.136221
LHb.5: Sema3d,Hbx,1.7157563,40.853817
LHb.5: Sema3d,Lateral,-0.3788412,8.823529
LHb.5: Sema3d,Marginal,-0.5710757,4.644951
LHb.5: Sema3d,Oval/Medial,-0.7658396,2.2592452
LHb.5: Npnt,Hbx,-1.699833,0.34843206
LHb.5: Npnt,Lateral,0.48509368,1.372549
LHb.5: Npnt,Marginal,0.8684314,1.0678059
LHb.5: Npnt,Oval/Medial,0.34630838,0.9944168
LHb.5: Trpc4,Hbx,1.0679653,18.815292
LHb.5: Trpc4,Lateral,0.9012049,17.058825
LHb.5: Trpc4,Marginal,-1.217396,2.4559536
LHb.5: Trpc4,Oval/Medial,-0.7517737,5.7572055
LHb.5: Trhde,Hbx,-1.1200563,3.222998
LHb.5: Trhde,Lateral,1.4571413,11.078431
LHb.5: Trhde,Marginal,-0.70018154,3.6839287
LHb.5: Trhde,Oval/Medial,0.36309576,7.0220604
LHb.5: Il1rapl2,Hbx,-0.53916097,12.107998
LHb.5: Il1rapl2,Lateral,1.4547569,26.862774
LHb.5: Il1rapl2,Marginal,-1.2238902,5.8729234
LHb.5: Il1rapl2,Oval/Medial,0.30829453,17.315365
LHb.5: Sox6,Hbx,-0.28154,5.7491326
LHb.5: Sox6,Lateral,-0.9637208,5.294118
LHb.5: Sox6,Marginal,-0.43006074,5.125462
LHb.5: Sox6,Oval/Medial,1.6753224,7.5890646
LHb.6: Tacr3,Hbx,-1.3852345,0.26132405
LHb.6: Tacr3,Lateral,0.0026156877,0.5882353
LHb.6: Tacr3,Marginal,1.4408303,0.6940738
LHb.6: Tacr3,Oval/Medial,-0.058211192,0.5495462
LHb.6: Mme,Hbx,-0.4148337,10.88849
LHb.6: Mme,Lateral,1.5375334,20.09804
LHb.6: Mme,Marginal,0.08425227,9.9305725
LHb.6: Mme,Oval/Medial,-1.2069522,4.666813
LHb.6: Dgkk,Hbx,1.2657025,1.5679442
LHb.6: Dgkk,Lateral,-0.61656815,0.7843138
LHb.6: Dgkk,Marginal,-1.2745231,0.4805126
LHb.6: Dgkk,Oval/Medial,0.62538826,0.959525
LHb.6: Abca13,Hbx,-0.23082322,0.087108016
LHb.6: Abca13,Lateral,1.6609938,0.19607845
LHb.6: Abca13,Marginal,-0.9969606,0.053390283
LHb.6: Abca13,Oval/Medial,-0.43320978,0.08722959
LHb.6: Ccdc68,Hbx,-0.74767834,0.0
LHb.6: Ccdc68,Lateral,-0.74767834,0.0
LHb.6: Ccdc68,Marginal,1.6850299,0.10678057
LHb.6: Ccdc68,Oval/Medial,-0.18967308,0.026168875
LHb.7: Chrm2,Hbx,-0.92735434,3.397214
LHb.7: Chrm2,Lateral,1.683837,46.37287
LHb.7: Chrm2,Marginal,-0.2819162,13.721287
LHb.7: Chrm2,Oval/Medial,-0.47456685,11.915742
LHb.7: Col25a1,Hbx,-1.1589783,17.247353
LHb.7: Col25a1,Lateral,1.5943564,39.411983
LHb.7: Col25a1,Marginal,-0.11772844,22.423998
LHb.7: Col25a1,Oval/Medial,-0.31764972,22.400955
LHb.7: Caln1,Hbx,-1.2412183,1.2195121
LHb.7: Caln1,Lateral,0.94333595,8.823529
LHb.7: Caln1,Marginal,-0.72427225,2.5627344
LHb.7: Caln1,Oval/Medial,1.0221545,7.981606
LHb.7: Nckap5,Hbx,-0.3136262,3.8327546
LHb.7: Nckap5,Lateral,-0.7344609,2.4509804
LHb.7: Nckap5,Marginal,-0.6618624,2.0822215
LHb.7: Nckap5,Oval/Medial,1.7099495,6.3503785
LHb.7: Slc2a13,Hbx,0.98549914,54.4427
LHb.7: Slc2a13,Lateral,1.0021082,53.921883
LHb.7: Slc2a13,Marginal,-0.836873,28.8309
LHb.7: Slc2a13,Oval/Medial,-1.1507344,27.60867
LHb.7: Ccdc85a,Hbx,-0.17140076,30.662039
LHb.7: Ccdc85a,Lateral,1.4566239,48.82389
LHb.7: Ccdc85a,Marginal,-1.3577844,9.022941
LHb.7: Ccdc85a,Oval/Medial,0.07256097,29.231173
MHb.1: Pde11a,Hbx,-0.19722115,2.6132412
MHb.1: Pde11a,Lateral,1.4341451,4.2156863
MHb.1: Pde11a,Marginal,-1.3730421,1.6017089
MHb.1: Pde11a,Oval/Medial,0.1361187,2.861129
MHb.1: F13a1,Hbx,1.6792741,1.5679442
MHb.1: F13a1,Lateral,-0.17562205,0.5882353
MHb.1: F13a1,Marginal,-0.84506786,0.37373197
MHb.1: F13a1,Oval/Medial,-0.65858364,0.47976252
MHb.1: Tac1,Hbx,0.16155078,7.229966
MHb.1: Tac1,Lateral,-0.9006097,3.6274512
MHb.1: Tac1,Marginal,1.5715282,9.450062
MHb.1: Tac1,Oval/Medial,-0.83246917,3.1228175
MHb.1: Cck,Hbx,-0.7031074,3.6585383
MHb.1: Cck,Lateral,-0.6819516,3.529412
MHb.1: Cck,Marginal,1.7126608,15.429794
MHb.1: Cck,Oval/Medial,-0.32760206,5.922945
MHb.1: Frem2,Hbx,-1.3096937,0.26132405
MHb.1: Frem2,Lateral,1.266772,0.4901961
MHb.1: Frem2,Marginal,0.6025496,0.3203417
MHb.1: Frem2,Oval/Medial,-0.5596274,0.25296572
MHb.2: Gpr149,Hbx,-0.42849258,4.1811867
MHb.2: Gpr149,Lateral,1.7090709,8.823529
MHb.2: Gpr149,Marginal,-0.44617686,2.6161246
MHb.2: Gpr149,Oval/Medial,-0.8344016,2.1981845
MHb.2: Pdzrn4,Hbx,-0.52245176,3.222998
MHb.2: Pdzrn4,Lateral,-0.26408738,4.2156863
MHb.2: Pdzrn4,Marginal,-0.9005407,1.441538
MHb.2: Pdzrn4,Oval/Medial,1.6870797,11.226614
MHb.2: Asic2,Hbx,-0.40173113,26.916344
MHb.2: Asic2,Lateral,-0.120471895,28.333384
MHb.2: Asic2,Marginal,-1.0967853,18.25951
MHb.2: Asic2,Oval/Medial,1.6189893,39.82979
MHb.2: Epha6,Hbx,-0.6504427,11.846675
MHb.2: Epha6,Lateral,-0.565617,12.941177
MHb.2: Epha6,Marginal,-0.5139275,12.65347
MHb.2: Epha6,Oval/Medial,1.7299873,38.041542
MHb.2: Pld5,Hbx,1.3899146,28.310091
MHb.2: Pld5,Lateral,0.4651386,20.294117
MHb.2: Pld5,Marginal,-1.1835684,8.595819
MHb.2: Pld5,Oval/Medial,-0.6714847,11.99425
MHb.2: Mcc,Hbx,-0.16554077,12.543537
MHb.2: Mcc,Lateral,1.6295832,22.843138
MHb.2: Mcc,Marginal,-1.08222,4.8585114
MHb.2: Mcc,Oval/Medial,-0.38182268,8.958597
MHb.3: Col12a1,Hbx,-0.43801808,0.34843206
MHb.3: Col12a1,Lateral,-0.5555209,0.19607845
MHb.3: Col12a1,Marginal,-0.7290516,0.10678057
MHb.3: Col12a1,Oval/Medial,1.7225906,1.4218415
MHb.3: Bhlhe22,Hbx,-0.1880041,0.34843206
MHb.3: Bhlhe22,Lateral,-1.4951556,0.0
MHb.3: Bhlhe22,Marginal,1.2360499,0.6406835
MHb.3: Bhlhe22,Oval/Medial,0.4471103,0.53210026
MHb.3: Ebf3,Hbx,0.9308005,1.5679442
MHb.3: Ebf3,Lateral,-0.014906121,0.5882353
MHb.3: Ebf3,Marginal,-1.6224176,0.3203417
MHb.3: Ebf3,Oval/Medial,0.70652306,0.76762
MHb.3: Cobll1,Hbx,-0.71781635,2.0034845
MHb.3: Cobll1,Lateral,1.7122821,6.8627453
MHb.3: Cobll1,Marginal,-0.667739,1.5483186
MHb.3: Cobll1,Oval/Medial,-0.32672656,2.3726435
MHb.3: Ascl1,Hbx,-0.49697012,0.26132405
MHb.3: Ascl1,Lateral,1.4774367,0.3921569
MHb.3: Ascl1,Marginal,-1.2265775,0.16017085
MHb.3: Ascl1,Oval/Medial,0.2461109,0.3314723
MHb.3: Fgf10,Hbx,1.3816961,2.439025
MHb.3: Fgf10,Lateral,-1.3361429,0.7843138
MHb.3: Fgf10,Marginal,-0.41226843,0.74746406
MHb.3: Fgf10,Oval/Medial,0.36671454,1.0903692
