mouse_lhb_region,mouse_gene,avg_log_expr,pct_expr,logFC_vs_other_lhb_regions
Hbx,Atpif1,0.7548916,0.32317114,0.31253326
Hbx,Basp1,0.7364767,0.33275315,0.31236678
Hbx,H3f3b,0.93057394,0.38414758,0.31226218
Hbx,Hspa8,1.2771025,0.5000028,0.3109048
Hbx,Ywhae,0.9400112,0.4146358,0.30934346
Hbx,Cox5b,0.79983574,0.34059298,0.3090087
Hbx,Ahi1,1.2384553,0.51045555,0.30699092
Hbx,Erc2,1.7040985,0.6454702,0.30630732
Hbx,Klhl5,0.42401582,0.23170678,0.30442807
Hbx,Zcchc18,0.7772781,0.36237028,0.30426213
Hbx,Eif1,1.1042674,0.4390264,0.3024063
Hbx,Chchd10,0.7983776,0.33449534,0.3021897
Hbx,Sncg,0.39133275,0.18379754,0.30183667
Hbx,Slc25a4,1.003119,0.41289362,0.30125058
Hbx,Calb1,0.500838,0.23693325,0.30094573
Hbx,Pou6f2,0.5327649,0.26393688,0.30071813
Hbx,Npr1,0.34944078,0.17944215,0.297869
Hbx,Ndufa4,1.0289088,0.4050538,0.29728287
Hbx,Cox6c,1.1727636,0.46341696,0.2970003
Hbx,Tmsb10,0.6886326,0.29268292,0.29520226
Hbx,Cox7c,1.0699544,0.43467093,0.2946545
Hbx,Tmem178b,1.1010358,0.47648335,0.2944749
Hbx,Gpr151,0.487023,0.2386754,0.29441988
Hbx,Chchd2,1.116276,0.43292874,0.29429406
Hbx,Rspo3,0.43471062,0.21864063,0.29344326
Hbx,Gm29478,0.46651238,0.24128863,0.29068506
Hbx,Dpysl2,0.8857655,0.40679598,0.29047012
Hbx,Nrsn1,0.5916902,0.29094073,0.29038483
Hbx,Mdh1,0.89727616,0.37804994,0.28971344
Hbx,Hsp90ab1,1.5501797,0.5783984,0.28895056
Hbx,Stmn3,1.0671313,0.44251075,0.2881934
Hbx,Gria1,1.745809,0.6663757,0.2877909
Hbx,Hint1,0.73085046,0.31446022,0.28472066
Hbx,Pld5,0.5689588,0.2831009,0.2839167
Hbx,Bex3,0.6033464,0.2709056,0.28221926
Hbx,Atp5h,0.92145413,0.3832765,0.27930063
Hbx,Pcdh11x,0.66326916,0.28832746,0.27914503
Hbx,Uchl1,0.79206616,0.34059298,0.27849478
Hbx,Gng3,0.5724331,0.26567906,0.2781727
Hbx,Jund,0.5369757,0.24564402,0.27734098
Hbx,Akap6,1.1339865,0.49564737,0.27635884
Hbx,Oaz1,0.80151725,0.34756172,0.2762286
