compartment,mouse_region,human_cluster,human_marker_depth,mouse_marker_depth,n_mouse_markers,n_human_markers,n_overlap,odds_ratio,p_value,overlap_genes,p_adj_grid,p_adj_all_sensitivity_tests,neg_log10_p_adj_grid
MHb,Ventral/Dorsal,LHb.4,200,500,471,200,4,0.5627758598085916,0.921061883615352,BASP1;CALM1;NCALD;STMN2,1.0,1.0,-0.0
MHb,Ventral/Dorsal,LHb.5,200,500,471,200,1,0.13765636694108843,0.9992007631986835,NCALD,1.0,1.0,-0.0
MHb,Ventral/Dorsal,LHb.6,200,500,471,200,7,1.0068675183133822,0.5470852925708813,CAMK2N1;ETV1;GABBR1;GNG8;MARCKS;NSG2;OLFM1,0.7013914007318991,0.8806201892489036,0.15403956300196178
MHb,Ventral/Dorsal,LHb.7,200,500,471,199,3,0.42118001046572473,0.9713490798084039,CPLX1;GNAO1;TCF7L2,1.0,1.0,-0.0
MHb,Ventral/Dorsal,MHb.1,200,500,471,192,18,2.9458780543503083,0.00012971262108295165,GNG8;H3F3B;HSP90AA1;HSPA8;ITM2B;ITM2C;MARCKS;MYL6;NCALD;NECAB3;NRN1;OAZ1;PCSK1N;RACK1;SYT4;TMSB10;TSPAN13;TUBA1A,0.00024944734823644546,0.0005321543429044171,3.603021108491287
MHb,Ventral/Dorsal,MHb.2,200,500,471,200,10,1.4709441717090992,0.15972281196876542,CACNB3;CHST2;ETV1;GABBR1;GNG8;NR4A2;NRGN;TSPAN13;ZFAND5;ZIC1,0.2348864881893609,0.3178403496392706,0.6291419652299667
MHb,Ventral/Dorsal,MHb.3,200,500,471,200,5,0.7086497193793331,0.8296874162355248,CHST2;CYGB;NRGN;PRNP;SYT4,0.9647528095761916,1.0,0.01558394799195339
MHb,Lateral,LHb.1,200,500,483,200,39,7.038484136310223,1.9660231324573936e-18,ABLIM1;ADAM23;AGBL4;ALCAM;BRINP1;CAMTA1;CNTN4;CTNND2;DACH1;DLC1;DPF3;FAM155A;GLCE;GRIA1;GRIK4;HDAC9;INPP4B;KCNH8;KCNIP4;KCNJ3;LINGO2;LRP1B;LSAMP;MTCL1;NDST4;NTRK2;OXR1;PCDH11X;PCLO;PLCL2;PPP2R2B;RMST;RYR2;SCN1A;SNTG1;SORCS3;SYN3;TENM3;UTRN,9.830115662286967e-18,5.617208949878267e-17,17.007441372178295
MHb,Lateral,LHb.2,200,500,483,199,65,15.002499464400486,3.674866867279628e-45,ADCY8;ADGRB3;CACNA1C;CACNB2;CCDC85A;CDH12;CEP112;COL25A1;CPNE8;CPSF6;CSMD1;CSMD3;DPYD;DPYSL3;ERBB4;GABRB1;GALNT13;GPHN;GPM6A;GRID1;GRIN2B;GUCY1A2;IMMP2L;KCNH5;KCNH7;KIF13A;KIRREL3;LRRC7;LRRTM3;MAGI3;MEF2A;MSI2;MTSS1;NCAM2;NELL2;OLFM3;OPCML;OPRM1;OSBPL3;PARD3B;PCDH15;PDE10A;PDE1A;PLCE1;PLCL1;POU6F2;PPP1R9A;PRICKLE2;PRKG1;PTPRN2;PTPRQ;RELN;RGS17;RIT2;SGCZ;SLC8A1;SLIT1;THSD7B;TMEM117;TMTC1;TNIK;TRPC5;TRPM3;WLS;XPR1,9.18716716819907e-44,9.799644979412343e-43,43.036818381201115
MHb,Lateral,LHb.3,200,500,483,199,43,8.085052447552448,4.7269151985829615e-22,ADAM23;ADARB2;ARHGAP26;CAMTA1;CDH11;CELF2;CNKSR2;CTNNA2;CUBN;DCC;FRAS1;FRMD3;GLCE;GNG2;GRIA1;GRIK4;INPP4B;KCNH8;KLHL29;LRFN5;LRP1B;LRRC4C;LRRTM4;LSAMP;MGAT4C;NLGN1;NTRK3;PBX1;PCDH11X;PDE10A;PEAK1;PLCL2;PLCXD3;PTPRD;RMST;SCN1A;SCN9A;SDK1;SNTG1;SORCS3;ST8SIA2;TENM3;TRPS1,2.6260639992127563e-21,1.8907660794331844e-20,20.58069469402481
