compartment,mouse_region,human_cluster,n_ranked_genes,spearman_r,p_value,p_adj,neg_log10_p_adj
MHb,Superior/Dorsal,LHb.1,13545,-0.0946827930063467,2.362884081134649e-28,5.907210202836623e-28,27.228617574883245
MHb,Superior/Dorsal,LHb.3,13545,-0.06878995786419864,1.1037317303236193e-15,2.122561019853114e-15,14.673139815710833
MHb,Superior/Dorsal,LHb.4,13545,-0.059645999212787994,3.722787912446578e-12,6.418599849045825e-12,11.19255969843447
MHb,Superior/Dorsal,LHb.6,13545,0.041179718605734834,1.6331721114522957e-06,2.093810399297815e-06,5.679062647521929
MHb,Superior/Dorsal,LHb.7,13545,-0.03737347612388475,1.3566938754762392e-05,1.695867344345299e-05,4.770608122522728
MHb,Superior/Dorsal,LHb.2,13545,-0.0369523561499134,1.694943735484473e-05,2.0670045554688697e-05,4.684658566230567
MHb,Superior/Dorsal,LHb.5,13545,-0.02485023943444821,0.0038240236042799093,0.004446539074744081,2.3519778868924144
MHb,Superior/Dorsal,MHb.3,13545,0.023591055939850974,0.0060377112293133525,0.0068610354878560825,2.1636103343333746
MHb,Superior/Dorsal,MHb.1,13545,0.018278075230384782,0.03340028123043158,0.03553221407492722,1.4493777300123742
MHb,Ventral,MHb.2,13545,0.2525740790027798,3.7656420997844613e-196,9.414105249461153e-195,194.02622095060084
MHb,Ventral,LHb.4,13545,-0.2125975978306492,3.102368000275148e-138,2.215977143053677e-137,136.65443472349995
MHb,Ventral,LHb.3,13545,-0.19858427136942552,1.6410180818619496e-120,1.0256363011637185e-119,118.98900661622221
MHb,Ventral,MHb.1,13545,-0.1608379078402586,3.5601990264115257e-79,1.186733008803842e-78,77.92564697762988
MHb,Ventral,LHb.7,13545,0.0950554319453633,1.4519357851368656e-28,3.8208836450970144e-28,27.417836187399715
MHb,Ventral,LHb.6,13545,-0.08667599415372645,5.212068079676259e-24,1.2409685903991094e-23,22.90623921059553
MHb,Ventral,LHb.2,13545,-0.08474727091751263,5.0829050462962375e-23,1.1552056923400539e-22,21.937340679759043
MHb,Ventral,LHb.5,13545,-0.055045296624840374,1.44943073099458e-10,2.2647355171790313e-10,9.644982508943201
MHb,Ventral,MHb.3,13545,0.047619481112828016,2.9440562611408764e-08,3.97845440694713e-08,7.400285614585366
MHb,Ventral,LHb.1,13545,0.008509059388971191,0.32205863817027414,0.32205863817027414,0.49206504782192706
MHb,Ventral/Dorsal,MHb.1,13545,0.3026498676459152,6.890820951810736e-285,3.4454104759053677e-283,282.4627590301276
MHb,Ventral/Dorsal,LHb.4,13545,0.23272781774091647,5.1417306493948576e-166,8.569551082324763e-165,164.06704192808564
MHb,Ventral/Dorsal,LHb.3,13545,0.19448301374324262,1.4303911400926688e-115,7.946617444959272e-115,114.09981769368277
MHb,Ventral/Dorsal,LHb.7,13545,-0.1910770801723499,1.4929366902861699e-111,7.464683451430849e-111,110.12698860431024
MHb,Ventral/Dorsal,MHb.2,13545,-0.17367644055749926,3.34465747970654e-92,1.2864067229640538e-91,90.89062169889836
MHb,Ventral/Dorsal,LHb.1,13545,-0.16385424869419454,3.848439839077075e-82,1.3744427996703837e-81,80.86187332952326
MHb,Ventral/Dorsal,LHb.6,13545,0.11249412021387975,2.13335478075475e-39,5.925985502096529e-39,38.227239415354646
MHb,Ventral/Dorsal,LHb.2,13545,0.06806402878690938,2.1921504705719015e-15,4.059537908466484e-15,14.391523398744107
MHb,Ventral/Dorsal,MHb.3,13545,-0.05603988892409816,6.727189710401332e-11,1.0850305984518277e-10,9.964558014302634
MHb,Ventral/Dorsal,LHb.5,13545,0.021321784903438612,0.013081378437008382,0.014218889605443893,1.8471343176046813
