compartment,mouse_region,human_cluster,human_marker_depth,mouse_marker_depth,n_mouse_markers,n_human_markers,n_overlap,odds_ratio,p_value,overlap_genes,p_adj_grid,p_adj_all_sensitivity_tests,neg_log10_p_adj_grid
LHb,Marginal,LHb.2,50,500,472,50,2,1.2189716312056738,0.4961074883774248,GPM6A;GPR151,0.566979986717057,0.6141369295194427,0.2464322705810694
LHb,Marginal,LHb.3,50,500,472,50,6,4.024775653531019,0.005876072825733584,GABRA1;HS6ST2;LGI2;PCDH17;PCSK1;TMEM47,0.010219257088232321,0.011159307443529654,1.9905806750632011
LHb,Marginal,LHb.4,50,500,472,50,2,1.2189716312056738,0.4961074883774248,CBLN1;SEZ6L,0.566979986717057,0.6141369295194427,0.2464322705810694
LHb,Marginal,LHb.5,50,500,472,50,0,0.0,1.0,,1.0,1.0,-0.0
LHb,Marginal,LHb.6,50,500,472,50,4,2.5551839464882944,0.08276614382624943,ADCYAP1;AMIGO2;PARM1;RET,0.1141601983810337,0.12672328241339625,0.9424852852007554
LHb,Marginal,LHb.7,50,500,472,50,3,1.8714784738919386,0.22889594078101613,CBLN2;CNTN1;SV2B,0.2861199259762702,0.31640043650075667,0.5434518959864132
LHb,Marginal,MHb.1,50,500,472,50,5,3.2721865334285036,0.024208495588285577,CALB2;CCK;PTN;TAC1;TMEM158,0.034583565126122255,0.04198763462466875,1.4611302385116722
LHb,Marginal,MHb.2,50,500,472,50,1,0.5957363837254647,0.8145059267370272,TSPAN13,0.8573746597231865,0.9725443901337637,0.06682935649720856
LHb,Marginal,MHb.3,50,500,472,50,1,0.5957363837254647,0.8145059267370272,CHST2,0.8573746597231865,0.9725443901337637,0.06682935649720856
LHb,Oval/Medial,LHb.1,50,500,464,50,13,10.72673338526997,4.547295898387898e-09,AK5;CADPS;CAMK1D;CNTN4;ESRRG;FAM135B;GPC6;HCN1;KCNJ3;NTNG1;SHISA9;SRRM4;TOX,1.8189183593551592e-08,2.1557550925690775e-08,7.740186793447374
LHb,Oval/Medial,LHb.2,50,500,464,50,9,6.640846957920129,2.876195202022654e-05,CSMD1;KIRREL3;LDB2;LRRC7;NELL2;OPCML;PRICKLE2;RGS7;SGCZ,9.587317340075513e-05,8.682853440068389e-05,4.018302897249268
LHb,Oval/Medial,LHb.3,50,500,464,50,16,14.466386554621849,2.151784041945981e-12,CACNA1A;CSMD2;GRIK1;GRM1;HS6ST3;INPP4B;LRRC4C;MARCH1;PCDH7;PTPRD;PTPRG;RMST;SDK1;SORCS1;TENM3;TMEFF2,2.151784041945981e-11,1.4197338008715752e-11,10.667201317623439
LHb,Oval/Medial,LHb.4,50,500,464,50,24,28.90909090909091,6.034810373110387e-23,ALK;ARPP21;CACNA1A;CAMK2A;CHRM3;DAB1;EDIL3;EPHA3;FAM135B;FGF13;FRAS1;GABRB1;GABRG3;GRM8;HS3ST4;LRRTM4;NELL1;NRXN3;PLCB4;PTPRD;RMST;RPH3A;SHISA9;VSNL1,1.2069620746220774e-21,9.42019180192841e-22,20.91830637616705
LHb,Oval/Medial,LHb.5,50,500,464,50,16,14.466386554621849,2.151784041945981e-12,ADGRL3;CACNA2D1;CAMK1D;CAMK2A;CNTN4;FAM135B;FUT8;GRIK1;HS3ST4;IL1RAPL2;KCNC2;NOS1AP;PHACTR1;PLXNA4;PTPRG;RBFOX1,2.151784041945981e-11,1.4197338008715752e-11,10.667201317623439
LHb,Oval/Medial,LHb.6,50,500,464,50,3,1.9050629990307841,0.22148798623341703,BCL11A;PRICKLE1;ROBO1,0.2861199259762702,0.3074887444455247,0.5434518959864132
LHb,Oval/Medial,LHb.7,50,500,464,50,10,7.580396475770925,3.831463070462559e-06,CCDC85A;CDH18;GRIK2;KCNH7;NLGN1;PCSK5;PLCB1;RYR3;SGCZ;SLC24A3,1.3932592983500215e-05,1.3043278537744883e-05,4.855968049862554
LHb,Oval/Medial,MHb.1,50,500,464,50,5,3.3311546840958606,0.022683338193172996,BCL11A;NFIB;PLEKHA5;RIMS1;SOX5,0.034160817854666965,0.039556775050764895,1.466471740280545
LHb,Oval/Medial,MHb.2,50,500,464,50,6,4.097459309249702,0.005413590861860258,ANO3;ASIC2;EPHA6;PDZRN4;PEX5L;SGCD,0.009842892476109559,0.010342382542061388,2.006877259107167
LHb,Oval/Medial,MHb.3,50,500,464,50,7,4.902600376571167,0.0010936442561311416,ADCY2;CACNA2D3;NECAB1;NFIB;NXPH1;PROX1;SLIT3,0.002360665886059561,0.002508718006895809,2.6269654759067547
LHb,Hbx,LHb.1,100,50,47,100,4,13.688953488372093,0.0003213574466174457,EBF1;NDST4;SEMA3D;SORCS3,0.0008717465143876804,0.0008157506341544107,3.059609780442061
LHb,Hbx,LHb.2,100,50,47,99,10,42.92134831460674,6.79437231160914e-13,ERBB4;GALNT13;GRIN3A;NCAM2;OPCML;PARD3B;PDE1A;PRKG1;SLC8A1;THSD7B,6.794372311609139e-12,4.8858407634043254e-12,11.16785065875431
LHb,Hbx,LHb.3,100,50,47,100,3,9.929240862230554,0.004330360605529433,MGAT4C;SNTG1;SORCS3,0.00911654864321986,0.008514671873281197,2.040169546419149
LHb,Hbx,LHb.4,100,50,47,100,2,6.405895691609977,0.04285497191355036,CDH10;SNTG1,0.06848986763788362,0.0693072646938822,1.1643736730979182
