compartment,mouse_region,human_cluster,module_marker_depth,n_marker_genes_mapped,mean_module_score
LHb,Lateral,MHb.1,100,100,0.009113532491028309
LHb,Marginal,MHb.1,100,100,-0.0017333358991891146
LHb,Oval/Medial,MHb.1,100,100,-0.006791901309043169
LHb,Hbx,MHb.2,100,100,0.0743977352976799
LHb,Lateral,MHb.2,100,100,0.04624290391802788
LHb,Marginal,MHb.2,100,100,-0.0784190446138382
LHb,Oval/Medial,MHb.2,100,100,0.0012477267300710082
LHb,Hbx,MHb.3,100,100,-0.0040285950526595116
LHb,Lateral,MHb.3,100,100,-0.04845118150115013
LHb,Marginal,MHb.3,100,100,-0.06668214499950409
LHb,Oval/Medial,MHb.3,100,100,0.015608938410878181
