compartment,mouse_region,mouse_gene,gene_upper,mean_log_expr,pct_expr,mouse_logFC_vs_other_regions,excluded_gene
MHb,Superior/Dorsal,Bpgm,BPGM,0.092717156,0.04109589041095892,-0.024857044,False
MHb,Superior/Dorsal,Cald1,CALD1,0.03696195,0.01643835616438356,-0.02091961,False
MHb,Superior/Dorsal,Gm13861,GM13861,0.0,0.0,-0.0012378005,False
MHb,Superior/Dorsal,Agbl3,AGBL3,0.019299824,0.00821917808219178,-0.033181466,False
MHb,Superior/Dorsal,Tmem140,TMEM140,0.0,0.0,-0.0021933625,False
MHb,Superior/Dorsal,Wdr91,WDR91,0.05548094,0.023287671232876717,-0.0117625855,False
MHb,Superior/Dorsal,Cnot4,CNOT4,0.18739842,0.08219178082191776,-0.21486281,False
MHb,Superior/Dorsal,Nup205,NUP205,0.063654065,0.030136986301369875,-0.015925996,False
MHb,Superior/Dorsal,Slc13a4,SLC13A4,0.0027870776,0.0013698630136986301,-0.0016631542,False
MHb,Superior/Dorsal,Fam180a,FAM180A,0.0,0.0,-0.00022501634,False
MHb,Superior/Dorsal,Mtpn,MTPN,0.2392957,0.10410958904109575,0.051059455,False
MHb,Superior/Dorsal,Chrm2,CHRM2,0.051128916,0.020547945205479454,-0.024036467,False
MHb,Superior/Dorsal,Ptn,PTN,0.2074891,0.08493150684931501,-0.18557188,False
MHb,Superior/Dorsal,Dgki,DGKI,0.1742385,0.08082191780821914,-0.32353467,False
MHb,Superior/Dorsal,Creb3l2,CREB3L2,0.060754366,0.028767123287671243,0.019150283,False
MHb,Superior/Dorsal,Trim24,TRIM24,0.059709545,0.02602739726027398,-0.030688833,False
MHb,Superior/Dorsal,Svopl,SVOPL,0.0,0.0,-0.0025419323,False
MHb,Superior/Dorsal,Atp6v0a4,ATP6V0A4,0.0,0.0,-0.003955646,False
MHb,Superior/Dorsal,D630045J12Rik,D630045J12RIK,0.08168032,0.03972602739726029,-0.009019814,False
MHb,Superior/Dorsal,Zc3hav1l,ZC3HAV1L,0.0007264822,0.0013698630136986301,-0.0050008437,False
MHb,Superior/Dorsal,Zc3hav1,ZC3HAV1,0.017536893,0.00821917808219178,-0.0025576036,False
MHb,Superior/Dorsal,Ttc26,TTC26,0.019629514,0.01095890410958904,-0.028303804,False
MHb,Superior/Dorsal,Ubn2,UBN2,0.4275534,0.18082191780821874,-0.2874613,False
MHb,Superior/Dorsal,Luc7l2,LUC7L2,0.73043954,0.2999999999999991,-0.29404926,False
MHb,Superior/Dorsal,Klrg2,KLRG2,0.0,0.0,-0.00018177892,False
MHb,Superior/Dorsal,Hipk2,HIPK2,0.16900127,0.07534246575342464,-0.15537809,False
MHb,Superior/Dorsal,Tbxas1,TBXAS1,0.008059897,0.0027397260273972603,0.00056253374,False
MHb,Superior/Dorsal,Gm42962,GM42962,0.0,0.0,-0.0003202752,False
MHb,Superior/Dorsal,Parp12,PARP12,0.0104878545,0.004109589041095891,-0.01940487,False
MHb,Superior/Dorsal,Kdm7a,KDM7A,0.15451536,0.07123287671232877,-0.00535509,False
MHb,Superior/Dorsal,Slc37a3,SLC37A3,0.057681866,0.02602739726027398,0.0025534779,False
MHb,Superior/Dorsal,Rab19,RAB19,0.0,0.0,-0.00051713863,False
MHb,Superior/Dorsal,Mkrn1,MKRN1,0.13415553,0.0575342465753425,0.0043049306,False
MHb,Superior/Dorsal,Gm10244,GM10244,0.014433152,0.005479452054794521,0.0064036427,False
MHb,Superior/Dorsal,Dennd2a,DENND2A,0.1018742,0.04520547945205482,-0.092286274,False
MHb,Superior/Dorsal,Adck2,ADCK2,0.08755625,0.03698630136986303,0.046178516,False
MHb,Superior/Dorsal,Gm16272,GM16272,0.006610429,0.0027397260273972603,-0.0020620879,False
MHb,Superior/Dorsal,Ndufb2,NDUFB2,0.38171884,0.15479452054794487,-0.063468456,False
MHb,Superior/Dorsal,Braf,BRAF,0.33774084,0.14383561643835588,-0.1949619,False
MHb,Superior/Dorsal,Mrps33,MRPS33,0.20775013,0.08904109589041088,-0.147592,False
