compartment,mouse_region,mouse_gene,gene_upper,mean_log_expr,pct_expr,mouse_logFC_vs_other_regions,excluded_gene
LHb,Lateral,Slc30a6,SLC30A6,0.06735145,0.04117647,0.030016407,False
LHb,Lateral,Slc30a7,SLC30A7,0.070585616,0.04117647,0.0022751838,False
LHb,Lateral,Slc30a9,SLC30A9,0.29792956,0.1637255,0.035591453,False
LHb,Lateral,Slc31a1,SLC31A1,0.07062425,0.04019608,0.028475966,False
LHb,Lateral,Slc31a2,SLC31A2,0.020113382,0.012745098,0.00549074,False
LHb,Lateral,Slc32a1,SLC32A1,0.0021611447,0.0009803922,-0.00659084,False
LHb,Lateral,Slc33a1,SLC33A1,0.08917996,0.052941177,0.008794628,False
LHb,Lateral,Slc34a3,SLC34A3,0.0,0.0,-0.00078741065,False
LHb,Lateral,Slc35a1,SLC35A1,0.0692655,0.043137256,0.0025287569,False
LHb,Lateral,Slc35a2,SLC35A2,0.039037637,0.024509804,-0.007605128,False
LHb,Lateral,Slc35a3,SLC35A3,0.09452633,0.055882353,0.018119134,False
LHb,Lateral,Slc35a4,SLC35A4,0.019444939,0.011764706,4.3669716e-05,False
LHb,Lateral,Slc35a5,SLC35A5,0.08256923,0.05,0.010342121,False
LHb,Lateral,Slc35b1,SLC35B1,0.09556669,0.05490196,0.008172445,False
LHb,Lateral,Slc35b2,SLC35B2,0.027860943,0.019607844,-0.006661579,False
LHb,Lateral,Slc35b3,SLC35B3,0.03587562,0.023529412,-0.004067179,False
LHb,Lateral,Slc35b4,SLC35B4,0.04905232,0.029411765,0.005116742,False
LHb,Lateral,Slc35c1,SLC35C1,0.0063881665,0.0029411768,0.0011470388,False
LHb,Lateral,Slc35c2,SLC35C2,0.105357565,0.061764706,0.02546604,False
LHb,Lateral,Slc35d1,SLC35D1,0.06793657,0.042156864,0.02241372,False
LHb,Lateral,Slc35d2,SLC35D2,0.0,0.0,-0.0003324832,False
LHb,Lateral,Slc35d3,SLC35D3,0.0,0.0,-0.0007150402,False
LHb,Lateral,Slc35e1,SLC35E1,0.02727343,0.014705882,-0.0040763,False
LHb,Lateral,Slc35e2,SLC35E2,0.07095454,0.04411765,-0.017470539,False
LHb,Lateral,Slc35e3,SLC35E3,0.033141147,0.020588236,-0.012695517,False
LHb,Lateral,Slc35e4,SLC35E4,0.023634523,0.015686275,-0.007654492,False
LHb,Lateral,Slc35f1,SLC35F1,0.58177996,0.26666692,0.1800077,False
LHb,Lateral,Slc35f2,SLC35F2,0.0042033275,0.0029411768,0.0016700972,False
LHb,Lateral,Slc35f3,SLC35F3,0.1023519,0.056862745,-0.06952333,False
LHb,Lateral,Slc35f4,SLC35F4,0.26503006,0.1392157,-0.012062639,False
LHb,Lateral,Slc35f5,SLC35F5,0.07430976,0.042156864,0.03540986,False
LHb,Lateral,Slc35f6,SLC35F6,0.03571085,0.023529412,0.0054157693,False
LHb,Lateral,Slc35g1,SLC35G1,0.027793521,0.014705882,0.0030886438,False
LHb,Lateral,Slc35g2,SLC35G2,0.12212369,0.0754902,0.005869508,False
LHb,Lateral,Slc35g3,SLC35G3,0.0,0.0,-0.00082541275,False
LHb,Lateral,Slc36a1,SLC36A1,0.035258655,0.020588236,-0.012176972,False
LHb,Lateral,Slc36a2,SLC36A2,0.002445219,0.0009803922,0.001755459,False
LHb,Lateral,Slc36a4,SLC36A4,0.07546917,0.047058824,-0.016757078,False
