mouse_gene,scores,logFC_vs_other_region,pvals,pvals_adj,pct_nz_group,pct_nz_reference,region,mouse_gene_upper,is_region_marker
Hmgn5,3.389698,0.6724769,0.0006996965055159868,0.002527940803377504,0.04264870931537598,0.019671073847146083,MHb,HMGN5,True
Cep41,3.3893192,0.9626627,0.0007006639886001807,0.002530870928005342,0.03668630751964085,0.01380199935504676,MHb,CEP41,True
Smad2,3.3862128,0.25663912,0.0007086440215561982,0.002557981934539501,0.07147867564534231,0.04785553047404063,MHb,SMAD2,True
Spry4,3.3860838,0.97313005,0.0007089771854203248,0.002558613559610387,0.03402076318742985,0.011157691067397614,MHb,SPRY4,True
Tcf3,3.3783085,0.528648,0.0007293321704146149,0.00262855344395196,0.050084175084175085,0.027023540793292486,MHb,TCF3,True
Dnal4,3.3780255,0.5818849,0.000730083035589599,0.002630673446349246,0.043209876543209874,0.020251531763947114,MHb,DNAL4,True
Gtf3a,3.37722,0.6373147,0.0007322248752853954,0.002637216067187992,0.041666666666666664,0.018768139309900032,MHb,GTF3A,True
Alkbh7,3.3764198,0.513447,0.0007343581290951276,0.0026437219537310676,0.046997755331088666,0.02399226056110932,MHb,ALKBH7,True
Dapk3,3.3757267,0.34777516,0.0007362098102933311,0.0026492088279187163,0.051416947250280585,0.028248951950983554,MHb,DAPK3,True
Wrap73,3.3750312,0.42877582,0.0007380730718671339,0.0026553229398244864,0.046085858585858584,0.023024830699774266,MHb,WRAP73,True
Snrnp40,3.3748455,0.31880715,0.0007385712849126846,0.002656524468192723,0.0611672278338945,0.03785875524024508,MHb,SNRNP40,True
Ppp4r1,3.3746943,0.27154714,0.0007389773329027517,0.002657394032837263,0.07596801346801346,0.052305707836181874,MHb,PPP4R1,True
Bag2,3.3742223,0.8137952,0.0007402457535601639,0.0026613636505524894,0.0356341189674523,0.012834569493711706,MHb,BAG2,True
Tbc1d20,3.3740203,0.40153793,0.0007407889427235117,0.0026621331145418353,0.05267957351290685,0.029538858432763625,MHb,TBC1D20,True
Rfesd,3.3737907,0.69820815,0.000741407065833143,0.0026637626143605256,0.04026374859708193,0.017413737504030958,MHb,RFESD,True
Szrd1,3.367345,0.44931284,0.0007589566939771238,0.002722582507225544,0.04727833894500561,0.024250241857465334,MHb,SZRD1,True
Il17ra,3.3567915,1.7493702,0.0007885255547171756,0.002825520790330154,0.02861952861952862,0.006062560464366333,MHb,IL17RA,True
Cmc2,3.3510346,0.5423498,0.0008051024878253747,0.0028823666977811947,0.04159652076318743,0.018832634633989036,MHb,CMC2,True
Atf3,3.349002,0.73957574,0.0008110322966525096,0.0029029536176929283,0.05660774410774411,0.034247017091260885,MHb,ATF3,True
Zfp182,3.3469613,0.25839812,0.0008170264926376645,0.0029231151334691936,0.06586700336700337,0.04250241857465334,MHb,ZFP182,True
Fahd2a,3.343942,0.39313376,0.0008259702357335721,0.0029518489975675047,0.04804994388327722,0.025153176394711384,MHb,FAHD2A,True
Tcta,3.3430169,0.6213909,0.000828728896405641,0.0029603997127564583,0.04152637485970819,0.018832634633989036,MHb,TCTA,True
Snrnp200,3.3422632,0.30370566,0.0008309824119139481,0.0029671391860282806,0.05864197530864197,0.03553692357304095,MHb,SNRNP200,True
Bhlhe41,3.3398888,0.25313407,0.0008381194177152907,0.002991962388334766,0.07435465768799102,0.051015801354401806,MHb,BHLHE41,True
Mrps22,3.3356864,0.71862954,0.0008508908111715705,0.0030315327909031173,0.04117564534231201,0.018574653337633022,MHb,MRPS22,True
Pdia4,3.3355987,0.37620726,0.0008511595231769234,0.003031822349127227,0.050715488215488214,0.027861980006449533,MHb,PDIA4,True
Mphosph10,3.3350165,0.49244633,0.0008529432824410165,0.003036838563390588,0.04489337822671156,0.022186391486617222,MHb,MPHOSPH10,True
Slc30a7,3.3340259,0.41698804,0.0008559869565770559,0.00304500167965371,0.05829124579124579,0.03534343760077394,MHb,SLC30A7,True
Usf1,3.3306527,0.4850987,0.0008664260822696927,0.003080774209873,0.04377104377104377,0.02108997097710416,MHb,USF1,True
Lrrc75a,3.3284843,1.1234108,0.0008731990018152838,0.0031014479258590724,0.03423120089786756,0.01180264430828765,MHb,LRRC75A,True
Slc25a19,3.3260803,0.5486761,0.0008807654240158722,0.0031269492391257096,0.044121773288439955,0.02147694292163818,MHb,SLC25A19,True
Zc3h8,3.3236175,0.4672496,0.0008885797488557453,0.0031498526052469167,0.04994388327721661,0.027217026765559496,MHb,ZC3H8,True
Card19,3.323481,0.79704857,0.0008890144413968623,0.00315070302138349,0.037948933782267116,0.015478877781360851,MHb,CARD19,True
Tab3,3.3192997,0.43793997,0.0009024352942499244,0.0031961661669569798,0.05723905723905724,0.034440503063527896,MHb,TAB3,True
Ptgr2,3.317596,0.26514605,0.0009079574224701942,0.003214316329274544,0.05457351290684624,0.03166720412770074,MHb,PTGR2,True
Dctn5,3.3136468,0.29624602,0.0009208776630660521,0.003258629665301552,0.05864197530864197,0.03573040954530796,MHb,DCTN5,True
Klhl28,3.311772,0.3595025,0.0009270702434399988,0.003279108066398859,0.06018518518518518,0.037342792647533055,MHb,KLHL28,True
Rpap3,3.307765,0.34730312,0.00094043715845166,0.0033242069575951925,0.05765993265993266,0.03489197033215092,MHb,RPAP3,True
H1fx,3.3068182,0.5623959,0.0009436212683930725,0.00333473323492636,0.04601571268237935,0.023540793292486296,MHb,H1FX,True
Polr2d,3.306334,0.86165845,0.0009452535182302721,0.0033397718779761146,0.0361952861952862,0.013866494679135763,MHb,POLR2D,True
Naa10,3.3062382,0.40613797,0.0009455770912258249,0.0033401855100628343,0.04664702581369248,0.024056755885198323,MHb,NAA10,True
Thoc3,3.3054001,0.44499016,0.0009484093067819201,0.003348727469372966,0.04426206509539843,0.021734924217994195,MHb,THOC3,True
Ndufaf1,3.304853,0.64560527,0.0009502621284062261,0.0033541205029796613,0.03843995510662177,0.016059335698161883,MHb,NDUFAF1,True
Gbe1,3.3046598,0.33836472,0.000950917135096107,0.003355384960772149,0.06053591470258137,0.03766526926797807,MHb,GBE1,True
Rpp14,3.3038232,0.39382893,0.0009537595671639307,0.0033646806976830052,0.04384118967452301,0.02128345694937117,MHb,RPP14,True
Zfp938,3.3029115,0.3030814,0.0009568656058650812,0.0033734309448273077,0.0590628507295174,0.03624637213801999,MHb,ZFP938,True
Irf3,3.3003056,0.41905823,0.0009657960183587776,0.003401949171810372,0.05366161616161616,0.031022250886810706,MHb,IRF3,True
Pdcd11,3.2991757,0.34674406,0.0009696915722930718,0.0034141839751502907,0.05632716049382716,0.033602063850370845,MHb,PDCD11,True
Lyrm4,3.298285,0.46948433,0.0009727730959628095,0.003423543260922203,0.05218855218855219,0.02966784908094163,MHb,LYRM4,True
Dnajb12,3.2962816,0.34049326,0.000979737943475024,0.0034465552926725785,0.05310044893378227,0.030441792970009676,MHb,DNAJB12,True
Ubald1,3.2959635,0.30541608,0.0009808478241479218,0.0034497094054343628,0.05057519640852974,0.027926475330538537,MHb,UBALD1,True
