mouse_gene,scores,logFC_vs_other_region,pvals,pvals_adj,pct_nz_group,pct_nz_reference,region,mouse_gene_upper,is_region_marker
Zranb1,-2.4291704,0.058609452,0.015133418337165694,0.04190898478044995,0.11370525636891325,0.13418911335578002,LHb,ZRANB1,False
Clvs1,-2.429302,0.09596499,0.015127922388336884,0.04190685813176042,0.12583037729764593,0.14800785634118968,LHb,CLVS1,False
Kif3c,-2.4294648,0.041922912,0.015121132388002606,0.0418952237711446,0.09068042566913899,0.10970819304152638,LHb,KIF3C,False
Trnau1ap,-2.4297154,-0.13497107,0.015110684978052588,0.041873450320370154,0.03418252176717188,0.051066217732884396,LHb,TRNAU1AP,False
Rnf214,-2.4306607,0.041536193,0.015071318025182683,0.04177151628809628,0.0818445662689455,0.10058922558922559,LHb,RNF214,False
Alg5,-2.431243,-0.2163198,0.015047124187198745,0.041711608179595495,0.021928410190261205,0.038580246913580245,LHb,ALG5,False
Cnppd1,-2.431634,-0.42378166,0.015030892550196111,0.0416737550564659,0.02089648500483715,0.03745791245791246,LHb,CNPPD1,False
Umad1,-2.4319053,-0.31853408,0.015019631989621321,0.041649673826868655,0.02457271847791035,0.04117564534231201,LHb,UMAD1,False
Yipf6,-2.4325705,-0.26547033,0.01499207222014064,0.04158037862839075,0.028313447275072557,0.04503367003367004,LHb,YIPF6,False
Tmem189,-2.432767,-0.0026269727,0.014983938725891847,0.04156494750322425,0.0472750725572396,0.06474466891133558,LHb,TMEM189,False
Rab37,-2.4330142,-0.38809943,0.014973714489454401,0.041543710440295874,0.022444372782973235,0.03907126823793491,LHb,RAB37,False
Col8a2,-2.4331715,-1.3764933,0.014967208819745007,0.04153278481032347,0.006578523057078362,0.022937710437710437,LHb,COL8A2,False
Tsnax,-2.4338508,-0.022836829,0.014939148538911862,0.04146203287867182,0.05495001612383102,0.07246071829405162,LHb,TSNAX,False
Herc4,-2.4339502,-0.06480554,0.014935052162571603,0.04145777736907425,0.06294743631086747,0.0805976430976431,LHb,HERC4,False
Lmbrd2,-2.4346092,0.07371772,0.014907879541348406,0.04138945272593726,0.08332795872299258,0.10241301907968575,LHb,LMBRD2,False
Atg13,-2.4346566,-0.13674137,0.014905932360401147,0.04138945272593726,0.0454047081586585,0.0625,LHb,ATG13,False
Tbck,-2.435156,0.053815544,0.014885361577661172,0.04134112697779352,0.08861657529829087,0.10781425364758698,LHb,TBCK,False
Tfb2m,-2.4365177,-0.43373224,0.014829446936081568,0.04119290815578214,0.01851015801354402,0.035072951739618406,LHb,TFB2M,False
Vps26b,-2.4365406,-0.22068001,0.014828505520398572,0.04119290815578214,0.02631409222831345,0.0430695847362514,LHb,VPS26B,False
Mast1,-2.4371498,0.025134057,0.014803549539906107,0.041135099434458214,0.07242824895195098,0.09076879910213244,LHb,MAST1,False
Ssh2,-2.437155,0.052912544,0.01480332836652491,0.041135099434458214,0.22405675588519833,0.25519079685746354,LHb,SSH2,False
Zfp251,-2.4375765,-0.19550258,0.014786085812279512,0.041107758338539205,0.02966784908094163,0.04650673400673401,LHb,ZFP251,False
Adprhl2,-2.4378526,-0.2930309,0.014774793806894306,0.04108342613486598,0.021154466301193164,0.03780864197530864,LHb,ADPRHL2,False
Ddost,-2.4380155,0.057719275,0.014768143641528208,0.04107199508282647,0.04850048371493067,0.06607744107744108,LHb,DDOST,False
Cd2bp2,-2.438387,-0.2354071,0.014752976794486086,0.04103687010332114,0.026959045469203483,0.04370089786756454,LHb,CD2BP2,False
Adipor2,-2.4397597,-0.053079233,0.014697033701478126,0.04088829035455946,0.056046436633344084,0.07358305274971942,LHb,ADIPOR2,False
Plaa,-2.4407032,-0.043901917,0.014658700213529722,0.04078865920417052,0.05752982908739116,0.07519640852974187,LHb,PLAA,False
Samhd1,-2.4408402,-0.40226087,0.014653137261754037,0.04078019532155395,0.02599161560786843,0.04264870931537598,LHb,SAMHD1,False
Scn3b,-2.4411724,0.09032844,0.01463966236000118,0.04074970550215438,0.08145759432441148,0.10058922558922559,LHb,SCN3B,False
Rtn4rl2,-2.4412117,-1.8429554,0.01463807457530984,0.04074970550215438,0.0044501773621412445,0.020833333333333332,LHb,RTN4RL2,False
Rars2,-2.4413805,0.014757757,0.014631232413041826,0.040740262399888365,0.07849080941631732,0.09701178451178451,LHb,RARS2,False
Prpf18,-2.4425182,-0.07190733,0.014585189734735753,0.040626045110961045,0.04443727829732345,0.06172839506172839,LHb,PRPF18,False
Cdkn2aip,-2.4437723,-0.3637925,0.01453459515933833,0.04049209037242464,0.018381167365366012,0.03500280583613917,LHb,CDKN2AIP,False
Tmem68,-2.4444523,-0.117194735,0.014507223875860984,0.040422798654961484,0.04327636246372138,0.060465768799102135,LHb,TMEM68,False
Nol12,-2.4453297,-0.20876265,0.014471982872547896,0.04033155116531051,0.023218316672041276,0.03998316498316498,LHb,NOL12,False
Ago1,-2.445836,-0.08852983,0.014451670267373167,0.04029577082826426,0.050628829409867786,0.0680415263748597,LHb,AGO1,False
Gm8797,-2.4460514,-0.87133795,0.014443038263286065,0.04027864550149174,0.009545307965172525,0.026024130190796857,LHb,GM8797,False
Airn,-2.4477959,-0.4072683,0.014373310688422455,0.0400911019805541,0.021734924217994195,0.03843995510662177,LHb,AIRN,False
Pdk3,-2.4478147,-0.14876287,0.014372556463500578,0.0400911019805541,0.027217026765559496,0.044121773288439955,LHb,PDK3,False
Exosc10,-2.448604,-0.16242388,0.014341098708622222,0.040015054616519656,0.03779425991615608,0.05485409652076319,LHb,EXOSC10,False
Sephs1,-2.4486737,-0.52274,0.014338329895208736,0.04001423154848194,0.018187681393099002,0.03479236812570146,LHb,SEPHS1,False
Usp1,-2.448681,-0.26829973,0.014338034224558465,0.04001423154848194,0.02399226056110932,0.04075476992143659,LHb,USP1,False
Ltn1,-2.4505517,-0.017572405,0.014263749956560308,0.03981984044655902,0.05546597871654305,0.07323232323232323,LHb,LTN1,False
Cacnb1,-2.4512167,-0.33047652,0.014237416743432369,0.03975318761004981,0.028119961302805547,0.04489337822671156,LHb,CACNB1,False
Pycrl,-2.4513578,-0.27810568,0.014231834809156643,0.039744462713761856,0.01960657852305708,0.03633557800224467,LHb,PYCRL,False
Zfp287,-2.4519577,-0.25483367,0.014208139789234693,0.039685142650815255,0.03353756852628184,0.050505050505050504,LHb,ZFP287,False
AU022252,-2.4528193,-0.6463961,0.014174152484184778,0.03959704947006715,0.012447597549177685,0.02904040404040404,LHb,AU022252,False
Atg4b,-2.4539976,-0.136804,0.014127789122203246,0.03947508731309038,0.0436633344082554,0.060886644219977554,LHb,ATG4B,False
Gtpbp1,-2.4558992,-0.5171934,0.014053252288666985,0.039279653666699235,0.017220251531763948,0.03388047138047138,LHb,GTPBP1,False
Nudcd2,-2.4562478,-0.2199548,0.014039631949952993,0.03924836619261833,0.02508868107062238,0.04194725028058362,LHb,NUDCD2,False
Pex16,-2.4565313,-0.1866936,0.014028554230423542,0.03922417712655156,0.019671073847146083,0.03647586980920314,LHb,PEX16,False
