mouse_gene,avg_expr_LHb,avg_expr_MHb,pct_expr_LHb,pct_expr_MHb,mouse_gene_upper
Ninl,0.022801603287046644,0.015551458392105344,0.011738148984198622,0.009890572390572368,NINL
Nip7,0.044585734637615226,0.06361956694797379,0.023798774588842254,0.04861111111111092,NIP7
Nipa1,0.15630005361950328,0.14328803206840587,0.07642695904546902,0.09027777777778014,NIPA1
Nipa2,0.10651049206482462,0.11747508865027,0.053402128345694806,0.08010662177328984,NIPA2
Nipal2,0.24248885318767668,0.25211397408514874,0.11525314414704906,0.14730639730640063,NIPAL2
Nipal3,0.09866414161196613,0.11554608451511693,0.04837149306675254,0.07449494949495036,NIPAL3
Nipal4,0.004303485693501214,0.0047432867355346135,0.001870364398581104,0.0024551066217732907,NIPAL4
Nipbl,0.3995723055934394,0.4376431055314821,0.18142534666236654,0.23000841750841228,NIPBL
Nipsnap1,0.1246500155498349,0.14790336400084977,0.06481780070944841,0.09918630751964405,NIPSNAP1
Nipsnap3b,0.022025338391079185,0.02883897715364612,0.012705578845533673,0.023569023569023486,NIPSNAP3B
Nisch,0.4206227921750875,0.43510496240697727,0.18929377620122495,0.22741301907968078,NISCH
Nit1,0.09228708530880539,0.11279220712907537,0.04695259593679447,0.07512626262626355,NIT1
Nit2,0.018070473674705764,0.019309719163786238,0.010061270557884534,0.01669472502805831,NIT2
Nkain1,0.03585134048299401,0.015842032901523567,0.018445662689454974,0.008627946127946111,NKAIN1
Nkain2,2.0995128843551645,2.544582421675135,0.6280554659788776,0.712471941638568,NKAIN2
Nkain3,0.3699391204616275,0.7585135944724894,0.15162850693324698,0.3200757575757707,NKAIN3
Nkain4,0.0566804202399011,0.05588092952809111,0.026120606256046376,0.0305134680134679,NKAIN4
Nkap,0.060028165838592926,0.07826243713976219,0.03140922283134465,0.0570286195286193,NKAP
Nkapl,0.007749778879814396,0.012656839817907384,0.004450177362141239,0.011714365881032517,NKAPL
