"bulk_gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol","ensemblID","gene_type","Class","MGI_Symbol"
"ENSG00000109881.16",-0.0974149581137785,2.17728995496554,-1.19584950970771,0.23767400506858,0.738161547610292,-5.03838009224136,"CCDC34","ENSG00000109881","protein_coding","InGen","CCDC34"
"ENSG00000148606.12",-0.0494305407439453,5.59978511187744,-1.19574322243195,0.237715099599424,0.738188428832491,-5.0384911095085,"POLR3A","ENSG00000148606","protein_coding","InGen","POLR3A"
"ENSG00000177463.15",-0.0381983080687092,6.66151777202996,-1.19548808040478,0.237813767928663,0.738394065081821,-5.03875756820558,"NR2C2","ENSG00000177463","protein_coding","InGen","NR2C2"
"ENSG00000103657.13",-0.03672076784871,8.74025297193771,-1.19533600791123,0.237872591478362,0.738423987370022,-5.03891636049924,"HERC1","ENSG00000103657","protein_coding","InGen","HERC1"
"ENSG00000204161.13",0.18848227028581,3.22099666959558,1.19529539140784,0.237888304245457,0.738423987370022,-5.03895876857483,"C10orf128","ENSG00000204161","protein_coding","InGen","C10orf128"
"ENSG00000127995.16",-0.0617230671444507,6.24555354610621,-1.19509029426285,0.237967659003593,0.738569564687094,-5.03917289186866,"CASD1","ENSG00000127995","protein_coding","InGen","CASD1"
"ENSG00000265354.3",-0.0552902619596395,4.94434655635713,-1.19473958648122,0.238103397093835,0.738724525080483,-5.03953895440774,"TIMM23","ENSG00000265354","protein_coding","InGen","TIMM23"
"ENSG00000258986.6",-0.109739540696464,5.36562789015926,-1.19471756538173,0.238111922031125,0.738724525080483,-5.03956193628788,"TMEM179","ENSG00000258986","protein_coding","InGen","TMEM179"
"ENSG00000116035.2",0.475522587797057,-2.05811039863459,1.19459983003066,0.23815750420334,0.738724525080483,-5.03968480171383,"VAX2","ENSG00000116035","protein_coding","InGen","VAX2"
"ENSG00000271816.1",-0.172322606702721,-0.731019897550852,-1.19450406689128,0.238194584347162,0.738724525080483,-5.03978472918566,"BMS1P4","ENSG00000271816","processed_transcript","InGen","BMS1P4"
"ENSG00000163380.15",0.411361525341313,-1.79911559847628,1.19442928218503,0.23822354442199,0.738724525080483,-5.03986276075313,"LMOD3","ENSG00000163380","protein_coding","InGen","LMOD3"
"ENSG00000279656.1",0.336267620640156,0.33164008679917,1.19437980486067,0.238242705725175,0.738724525080483,-5.03991438367996,"RP11-298I3.6","ENSG00000279656","TEC","InGen","RP11-298I3.6"
