,,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pheno,lfc,log_adj_pval,sign
si,122,Rps2,-7.86067,-0.75304,3.820836834089869e-15,5.0640066723035e-13,0.21885521885521886,si,0.75304,28.31144820648611,False
si,123,Rpl30,-7.8438067,-0.61576533,4.3708922489610125e-15,5.746313342142131e-13,0.4548821548821549,si,0.61576533,28.185047717631278,False
si,124,Sod1,-7.7969546,-1.0925901,6.34189564906217e-15,8.248747355217721e-13,0.1175084175084175,si,1.0925901,27.8235448558354,False
si,125,Scd2,-7.7962866,-0.7448571,6.375550035317341e-15,8.248747355217721e-13,0.23434343434343435,si,0.7448571,27.8235448558354,False
si,126,Rpl23a,-7.772867,-0.6783991,7.672919266024769e-15,9.84912833659337e-13,0.2828282828282828,si,0.6783991,27.646223251401263,False
si,127,Tubb2a,-7.7073455,-1.003709,1.2846147186971914e-14,1.636077276890751e-12,0.135016835016835,si,1.003709,27.138719643600247,False
si,128,Fau,-7.6680355,-0.58062655,1.7465058943850228e-14,2.207096053508887e-12,0.48383838383838385,si,0.58062655,26.8393434673949,False
si,129,Rpl27,-7.640349,-1.2339126,2.166338051254051e-14,2.71658791627258e-12,0.10067340067340068,si,1.2339126,26.631644465639166,False
si,130,Tmsb10,-7.6067085,-0.8900955,2.811648328806902e-14,3.4988924470389402e-12,0.16397306397306396,si,0.8900955,26.378574641215213,False
si,131,Map1b,-7.6007013,-0.576653,2.9453017360500595e-14,3.6374476440218234e-12,0.5962962962962963,si,0.576653,26.339738876930586,False
si,132,Hnrnpk,-7.5990276,-0.77488154,2.983642361712059e-14,3.657093066212781e-12,0.19932659932659932,si,0.77488154,26.334352528298467,False
si,133,Hsp90ab1,-7.596183,-0.56772244,3.049935453399965e-14,3.710451325472106e-12,0.57003367003367,si,0.56772244,26.319867595637447,False
si,134,Rap1gap,-7.5536113,-0.7452297,4.2335312154170656e-14,5.112224138794741e-12,0.24074074074074073,si,0.7452297,25.999386554197383,False
si,135,Actg1,-7.5482125,-0.7157659,4.4127183826785254e-14,5.289421696648921e-12,0.2383838383838384,si,0.7157659,25.96531219613839,False
si,136,Rps26,-7.5471807,-0.6751893,4.44781411710074e-14,5.2925741413851295e-12,0.2865319865319865,si,0.6751893,25.964716383235473,False
si,137,Gabarapl2,-7.5330296,-0.8006721,4.9576302070209484e-14,5.8564701184677895e-12,0.19528619528619529,si,0.8006721,25.863474062698792,False
si,138,Stmn1,-7.521598,-0.85494,5.411077876159827e-14,6.346143276054496e-12,0.16936026936026935,si,0.85494,25.78317384564225,False
