,names,avg_logFC,ct,pheno
11,Adcy2,-0.8233660413688213,Astrocytes,spt
165,Macf1,-0.6222151158468084,Astrocytes,spt
162,Lncpint,-0.856386257913591,Astrocytes,spt
207,Ntrk3,-1.0808008614141857,Astrocytes,spt
141,Jakmip1,-0.9897960416571429,Astrocytes,spt
329,Tspan9,-0.8214455387896253,Astrocytes,spt
55,Carmil1,-0.8302396533466845,Astrocytes,spt
6,Ablim1,-0.9224190728858304,Astrocytes,spt
81,Dlg2,-0.6842978452504553,Astrocytes,spt
340,Vps13d,-1.4958977936671238,Astrocytes,spt
56,Ccser1,-0.8896659520896552,Astrocytes,spt
263,Rgma,-0.7604578332734807,Astrocytes,spt
327,Trappc9,-1.134594508433735,Astrocytes,spt
57,Cdh20,-0.7596645376263329,Astrocytes,spt
184,Mgll,-0.8786422797532933,Astrocytes,spt
337,Ubr5,-0.7115722772184793,Astrocytes,spt
251,Pygb,-0.7748155254926523,Astrocytes,spt
354,Zwint,-0.9880567748487782,Astrocytes,spt
190,Myo6,-0.7146772173884418,Astrocytes,spt
191,Nbea,-0.6685260391871406,Astrocytes,spt
308,Taok1,-0.8828243654091421,Astrocytes,spt
186,Mpp6,-0.7150542283030648,Astrocytes,spt
12,Adcy8,-0.7199829876413754,Astrocytes,spt
245,Ptprd,-0.6739707735955056,Astrocytes,spt
23,Antxr1,-0.8677952200652985,Astrocytes,spt
290,Sorbs1,-0.7104047065618188,Astrocytes,spt
3,A230057D06Rik,-0.8130114544405594,Astrocytes,spt
20,Ankrd11,-0.8296534308588353,Astrocytes,spt
293,Sox5,-0.7848152254841929,Astrocytes,spt
85,Dock3,-0.8681214816378163,Astrocytes,spt
182,Mgat5,-0.8202068406133334,Astrocytes,spt
112,Frmpd1,-1.111638393826323,Astrocytes,spt
26,Arhgap21,-0.8486897059230245,Astrocytes,spt
24,Apba2,-0.7600058928644413,Astrocytes,spt
217,Pcca,-0.856476438894646,Astrocytes,spt
175,Mapt,-0.7371837052036199,Astrocytes,spt
281,Slc1a3,-0.6893394730416372,Astrocytes,spt
147,Kcnip4,-0.9725045125895708,Astrocytes,spt
71,Cpne4,-1.1935237710376687,Astrocytes,spt
211,Nxn,-0.8212272981808473,Astrocytes,spt
134,Herc2,-1.0309721888288288,Astrocytes,spt
106,Fgf14,-0.7463396576911819,Astrocytes,spt
255,Rabep1,-0.806051591228329,Astrocytes,spt
43,Auts2,-0.6884552264198445,Astrocytes,spt
86,Dok6,-0.8157539551190026,Astrocytes,spt
47,Bcl2,-0.8339883541340996,Astrocytes,spt
187,Msi2,-0.6917006158511051,Astrocytes,spt
32,Asap1,-0.788394418874951,Astrocytes,spt
16,Ahi1,-0.8018159620343039,Astrocytes,spt
2,Actb,-0.918036377362,Astrocytes,susceptible
80,Jarid2,-1.7263143087000001,Astrocytes,susceptible
83,Kcnma1,-1.1599762620199998,Astrocytes,susceptible
97,Map1b,-1.216786858938,Astrocytes,susceptible
99,Meg3,-1.9966273528999998,Astrocytes,susceptible
117,Npas3,0.6957461232440001,Astrocytes,susceptible
119,Nrg3,-2.2290158126999997,Astrocytes,susceptible
123,Nwd2,-1.76711119048,Astrocytes,susceptible
124,Opcml,-2.0691471888,Astrocytes,susceptible
125,Pam,-1.7497138099799998,Astrocytes,susceptible
132,Pcsk2,-2.22362420794,Astrocytes,susceptible
134,Pitpnc1,0.76553066061,Astrocytes,susceptible
136,Plp1,-1.4700541966,Astrocytes,susceptible
140,Ptprd,-0.96218236942,Astrocytes,susceptible
147,Robo1,-1.45726167532,Astrocytes,susceptible
148,Rora,0.616876386764,Astrocytes,susceptible
182,Snap25,-1.38065630114,Astrocytes,susceptible
183,Snhg11,-2.1848945452799997,Astrocytes,susceptible
191,Syt1,-1.60249049968,Astrocytes,susceptible
195,Tenm2,-2.25638449092,Astrocytes,susceptible
204,Ttr,5.63329449948,Astrocytes,susceptible
209,Zbtb20,0.62984646841,Astrocytes,susceptible
82,Kcnip4,-1.62910655522,Astrocytes,susceptible
114,Nkain2,-1.7831914177400001,Astrocytes,susceptible
14,Asic2,-1.32785051772,Astrocytes,susceptible
15,Atp1b1,-1.200127542324,Astrocytes,susceptible
32,Cntnap2,-1.9516761008,Astrocytes,susceptible
54,Fam155a,-1.3541365937,Astrocytes,susceptible
67,Gm42418,-0.263903882966,Astrocytes,susceptible
46,Dpp6,-1.32592138276,Astrocytes,susceptible
37,Cpne4,-2.04331028516,Astrocytes,susceptible
197,Tmeff2,-2.061101025885177,Astrocytes,susceptible
121,Ntm,0.5249308042228445,Astrocytes,susceptible
95,Macrod2,-0.8849933305562225,Astrocytes,susceptible
104,Nap1l5,-1.3457189182509506,Astrocytes,susceptible
8,Anks1b,-1.5630827843718693,Astrocytes,susceptible
11,App,-1.0100889960480963,Astrocytes,susceptible
74,Hbb-bs,2.3240254507118507,Astrocytes,susceptible
130,Pcp4,-0.8266833663713592,Astrocytes,susceptible
181,Slc4a4,0.429129777021969,Astrocytes,susceptible
66,Gm3764,0.7487715058078336,Astrocytes,susceptible
61,Gabrb1,0.6226229171183674,Astrocytes,susceptible
202,Tspan13,-1.4831415472336065,Astrocytes,susceptible
51,Erbb4,0.4992927279452341,Astrocytes,susceptible
18,Bmpr1b,0.8094118273790069,Astrocytes,susceptible
84,Kctd8,-1.4373911186817983,Astrocytes,susceptible
43,Dlg2,-0.7464847879167625,Astrocytes,susceptible
3,Adgrb3,0.4302211717250355,Astrocytes,susceptible
142,Ptprz1,0.44203361146899606,Astrocytes,susceptible
7,Ank3,-1.4245237650174913,Astrocytes,susceptible
201,Trps1,0.5615160461606243,Astrocytes,susceptible
45,Dpp10,-1.966466309274737,Astrocytes,susceptible
85,Kif21a,-0.770470975209012,Astrocytes,susceptible
188,St6galnac5,-0.9806403225914462,Astrocytes,susceptible
40,Ctnnd2,0.4803531266839827,Astrocytes,susceptible
23,Calm2,-0.87066725105106,Astrocytes,susceptible
13,Arglu1,-0.78648251633022,Astrocytes,susceptible
33,Cox6b1,-0.9156384499968112,Astrocytes,susceptible
206,Wdr17,-0.8326296737926594,Astrocytes,susceptible
59,Gabbr1,-0.6652047885681063,Astrocytes,susceptible
192,Syt9,-1.5491570008005335,Astrocytes,susceptible
94,Lsamp,0.274086528510794,Astrocytes,susceptible
622,Ndufa3,0.904361458032,Astrocytes,tst
370,Gabarapl2,0.9655507485079999,Astrocytes,tst
631,Ndufb11,1.096958997128,Astrocytes,tst
375,Gapdh,0.942594592228,Astrocytes,tst
632,Ndufb2,1.020990356866,Astrocytes,tst
373,Gadd45g,1.193333722182,Astrocytes,tst
372,Gadd45b,1.8802866805000003,Astrocytes,tst
963,Sem1,1.061400043812,Astrocytes,tst
369,Gabarap,1.22188102372,Astrocytes,tst
352,Fgf14,-0.855758037908,Astrocytes,tst
367,Fxyd1,1.26498083668,Astrocytes,tst
365,Ftl1,1.35780510386,Astrocytes,tst
362,Fosb,1.29226584038,Astrocytes,tst
361,Fos,1.5085930993399999,Astrocytes,tst
359,Fmc1,1.1895062797340001,Astrocytes,tst
965,Serf2,1.38440527964,Astrocytes,tst
386,Glo1,1.2264613686999999,Astrocytes,tst
389,Gm14964,1.30706682078,Astrocytes,tst
779,Psma7,1.145345433732,Astrocytes,tst
392,Gm19951,-2.98371154996,Astrocytes,tst
960,Selenos,1.31668980628,Astrocytes,tst
959,Selenom,1.150696220342,Astrocytes,tst
398,Gm42418,-2.04934191346,Astrocytes,tst
401,Gnai2,1.0057926023300001,Astrocytes,tst
958,Selenok,0.808595558628,Astrocytes,tst
404,Gnb2,1.00823189223,Astrocytes,tst
405,Gng5,1.50829184894,Astrocytes,tst
406,Gphn,-0.701533772632,Astrocytes,tst
408,Gpr37l1,1.098702119446,Astrocytes,tst
626,Ndufa7,1.141740701208,Astrocytes,tst
411,Gpx4,0.97715460102,Astrocytes,tst
955,Sec61g,1.3070280564799999,Astrocytes,tst
634,Ndufb4,1.008741408744,Astrocytes,tst
948,Sdc4,1.003222314094,Astrocytes,tst
298,Eif1,0.980229586552,Astrocytes,tst
310,Emb,1.261937759446,Astrocytes,tst
307,Elob,1.29694999088,Astrocytes,tst
306,Eif5a,1.1544003872839999,Astrocytes,tst
305,Eif3k,1.5195709244400002,Astrocytes,tst
1000,Smim11,1.51208928466,Astrocytes,tst
297,Egr1,1.10969987841,Astrocytes,tst
348,Fbxo2,1.52693704378,Astrocytes,tst
1006,Snhg11,-1.46633543226,Astrocytes,tst
1009,Snrpd2,1.48250918008,Astrocytes,tst
641,Ndufc2,1.32843522188,Astrocytes,tst
319,Enho,1.51249072646,Astrocytes,tst
320,Eno1,0.996354063226,Astrocytes,tst
992,Slc3a2,1.24568810144,Astrocytes,tst
989,Slc2a1,1.25062118592,Astrocytes,tst
987,Slc25a4,0.8204596655299999,Astrocytes,tst
638,Ndufb8,1.013081144686,Astrocytes,tst
637,Ndufb7,1.08329555246,Astrocytes,tst
333,Fabp5,1.220173302386,Astrocytes,tst
334,Fabp7,1.103157236674,Astrocytes,tst
338,Fam155a,-1.4564263372400001,Astrocytes,tst
979,Skp1a,1.086711366188,Astrocytes,tst
972,Sf3b6,1.16276984107,Astrocytes,tst
345,Farp1,-0.775944023586,Astrocytes,tst
968,Serpinh1,1.60102864856,Astrocytes,tst
347,Fau,0.727495118036,Astrocytes,tst
420,Gstm1,1.4904357953999998,Astrocytes,tst
503,Lamp1,0.823473662672,Astrocytes,tst
511,Ldhb,0.839420050178,Astrocytes,tst
510,Ldha,1.53374906674,Astrocytes,tst
508,Lars2,-2.14859458174,Astrocytes,tst
507,Laptm4a,0.9089572192600001,Astrocytes,tst
596,Mt1,1.2263899803,Astrocytes,tst
502,Krtcap2,1.2341580525,Astrocytes,tst
488,Jun,1.8099766165000002,Astrocytes,tst
598,Mt3,1.12456799147,Astrocytes,tst
607,Naca,0.8912557636499999,Astrocytes,tst
494,Kcnma1,-1.119813388024,Astrocytes,tst
493,Kcnip4,-1.67540675954,Astrocytes,tst
490,Jund,1.136946690082,Astrocytes,tst
524,Lxn,1.034814516586,Astrocytes,tst
527,Macrod2,-0.864061731544,Astrocytes,tst
595,Msi2,-0.5466180715460001,Astrocytes,tst
545,Mdh2,1.015693171238,Astrocytes,tst
549,Meg3,-1.8072452290199998,Astrocytes,tst
558,Mgst1,1.25144477866,Astrocytes,tst
559,Mid1ip1,1.3251423205,Astrocytes,tst
561,Mif,0.8499319893059999,Astrocytes,tst
563,Mlc1,1.07452722799,Astrocytes,tst
489,Junb,1.63212537632,Astrocytes,tst
487,Jarid2,-1.58236647046,Astrocytes,tst
421,Gstm5,1.3701193192,Astrocytes,tst
943,Scand1,1.28758465096,Astrocytes,tst
932,S100a13,1.4174930110400001,Astrocytes,tst
933,S100a16,1.134756096794,Astrocytes,tst
444,Hmgb1,0.948796745828,Astrocytes,tst
621,Ndufa2,0.93308032315,Astrocytes,tst
441,Hint1,0.8990709253920001,Astrocytes,tst
934,S100a6,1.88952960002,Astrocytes,tst
433,Hcfc1r1,1.69582206478,Astrocytes,tst
4,1500015O10Rik,1.6660667182599997,Astrocytes,tst
431,H3f3b,0.9627714591059999,Astrocytes,tst
430,H3f3a,1.13114064609,Astrocytes,tst
947,Scp2,1.088193087956,Astrocytes,tst
623,Ndufa4,0.80485886851,Astrocytes,tst
930,S100a1,1.45184583502,Astrocytes,tst
458,Hsp90ab1,0.830459559748,Astrocytes,tst
460,Hspa2,1.8534039053600002,Astrocytes,tst
462,Hspa5,1.048651400888,Astrocytes,tst
463,Hspa8,0.995978652172,Astrocytes,tst
618,Ndufa11,1.112367763206,Astrocytes,tst
468,Id1,1.6553148437,Astrocytes,tst
469,Id2,1.183008559694,Astrocytes,tst
470,Id3,1.3627964652,Astrocytes,tst
473,Ier2,1.4539296803200001,Astrocytes,tst
615,Ndrg2,0.722398582384,Astrocytes,tst
483,Itm2b,0.83828505109,Astrocytes,tst
484,Itm2c,0.941462009842,Astrocytes,tst
570,Mpc1,0.9338378093159999,Astrocytes,tst
287,Ech1,1.69104339028,Astrocytes,tst
283,Dynll1,1.014804442404,Astrocytes,tst
93,Atp5k,0.8790843980899999,Astrocytes,tst
101,Atp6v1f,1.0761218522179998,Astrocytes,tst
814,Ramp1,0.919597793884,Astrocytes,tst
97,Atp6v0b,0.87813224431,Astrocytes,tst
1135,Tuba1a,1.000008806154,Astrocytes,tst
1138,Tubb4b,1.36149789054,Astrocytes,tst
735,Plp1,-1.3246668599,Astrocytes,tst
92,Atp5j2,0.868660191372,Astrocytes,tst
84,Atp5d,1.2242733563600001,Astrocytes,tst
1140,Txn1,1.7606144663999999,Astrocytes,tst
90,Atp5h,0.9252117014900001,Astrocytes,tst
811,Rabac1,1.064662324882,Astrocytes,tst
88,Atp5g2,1.109202470596,Astrocytes,tst
87,Atp5g1,1.091627093296,Astrocytes,tst
802,Pttg1,1.4677384818599999,Astrocytes,tst
815,Ran,1.148356813926,Astrocytes,tst
103,Atpif1,0.938813271924,Astrocytes,tst
1133,Tst,1.2967227805200001,Astrocytes,tst
835,Rhoa,1.070537110948,Astrocytes,tst
1127,Tsc22d4,1.004366422294,Astrocytes,tst
1125,Trmt112,1.58370799618,Astrocytes,tst
123,Bri3,1.181315817772,Astrocytes,tst
724,Phgdh,1.183485855154,Astrocytes,tst
126,Btbd17,1.1858996509500002,Astrocytes,tst
127,Btf3,1.34748256282,Astrocytes,tst
717,Pfn1,1.3409237389600002,Astrocytes,tst
1118,Tpi1,0.9054065063440001,Astrocytes,tst
1115,Tomm7,1.3253547945800002,Astrocytes,tst
136,Calm1,0.85998053296,Astrocytes,tst
714,Pebp1,0.9906108441459999,Astrocytes,tst
139,Camk1d,-1.45797976452,Astrocytes,tst
658,Nkain2,-1.28705624642,Astrocytes,tst
85,Atp5e,0.889045492122,Astrocytes,tst
1144,Ubb,1.04149503418,Astrocytes,tst
711,Pdia6,1.13095975615,Astrocytes,tst
23,Acadl,1.3008395638399999,Astrocytes,tst
764,Prdx1,1.04372661616,Astrocytes,tst
1191,Zfp36l1,1.49317262186,Astrocytes,tst
30,Actg1,1.145809059736,Astrocytes,tst
765,Prdx2,1.122318947768,Astrocytes,tst
767,Prdx5,0.988192453914,Astrocytes,tst
24,Aco2,0.867210328016,Astrocytes,tst
1145,Ubc,1.2692092577,Astrocytes,tst
17,AY036118,-1.35760134532,Astrocytes,tst
768,Prdx6,1.155489575166,Astrocytes,tst
10,2410015M20Rik,1.27126782394,Astrocytes,tst
771,Prnp,1.033417557566,Astrocytes,tst
773,Psap,0.6365338452279999,Astrocytes,tst
6,1810037I17Rik,1.2167587283999999,Astrocytes,tst
42,Aldh2,1.1365360917579999,Astrocytes,tst
1176,Vim,2.2283714801400003,Astrocytes,tst
45,Aldoc,1.0278714834120002,Astrocytes,tst
785,Psmb6,1.32450839944,Astrocytes,tst
755,Ppib,1.001767185946,Astrocytes,tst
754,Ppia,1.028562327262,Astrocytes,tst
793,Ptma,0.76872432844,Astrocytes,tst
57,Apoe,0.9910780799259999,Astrocytes,tst
1159,Uqcrb,1.029811097598,Astrocytes,tst
63,Arf5,1.33861829582,Astrocytes,tst
69,Arl6ip1,0.8612940491859999,Astrocytes,tst
1158,Uqcr11,0.9656967631519999,Astrocytes,tst
73,Asic2,-1.43395662304,Astrocytes,tst
795,Ptn,0.862596137766,Astrocytes,tst
1150,Ubl5,1.34527763876,Astrocytes,tst
796,Ptov1,1.022131268312,Astrocytes,tst
798,Ptprd,-0.81656068564,Astrocytes,tst
145,Cavin3,1.67327402302,Astrocytes,tst
1107,Tmem59,1.027345573562,Astrocytes,tst
1102,Tmem256,1.26893751696,Astrocytes,tst
1066,Tbca,1.4535926067,Astrocytes,tst
1059,Syne1,-0.812083551684,Astrocytes,tst
677,Nudc,1.192095023434,Astrocytes,tst
240,Ctsz,1.40668512352,Astrocytes,tst
678,Nwd2,-1.068551465852,Astrocytes,tst
680,Oat,1.6087193013599999,Astrocytes,tst
1062,Syt1,-1.31963922112,Astrocytes,tst
232,Cst3,0.781757125284,Astrocytes,tst
217,Cox6c,0.752075865428,Astrocytes,tst
231,Cspg5,0.968226717456,Astrocytes,tst
