names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pheno,lfc,log_adj_pval,region,phenotype,n_control_cells,n_pheno_cells
Smarca5,15.617962,1.4116659,5.493355060002592e-55,6.90992856390141e-54,0.8802946593001841,tst,1.4116659,122.40663572202737,Ventral/Dorsal,tst,920,543
Lonp2,15.616361,1.0924088,5.633024761554468e-55,7.080151862980797e-54,0.7642725598526704,tst,1.0924088,122.38229966462931,Ventral/Dorsal,tst,920,543
Lrp8,15.615721,1.3158492,5.689877885468964e-55,7.146100869716105e-54,0.7476979742173112,tst,1.3158492,122.37302814662746,Ventral/Dorsal,tst,920,543
Cebpb,15.613671,1.7816567,5.875676369955977e-55,7.373770298923967e-54,0.5985267034990792,tst,1.7816567,122.34166587248406,Ventral/Dorsal,tst,920,543
Kif3a,15.61303,1.477126,5.934968349695331e-55,7.442450310517944e-54,0.856353591160221,tst,1.477126,122.33239488424336,Ventral/Dorsal,tst,920,543
Acly,15.610853,1.2615685,6.141054010077511e-55,7.694962526693588e-54,0.856353591160221,tst,1.2615685,122.29902912422487,Ventral/Dorsal,tst,920,543
Pnn,15.609444,1.2442657,6.278185648443381e-55,7.860751339548693e-54,0.8195211786372008,tst,1.2442657,122.27771282953243,Ventral/Dorsal,tst,920,543
Zfp637,15.608035,1.7497289,6.41836678708553e-55,8.03010094881568e-54,0.583793738489871,tst,1.7497289,122.25639792233983,Ventral/Dorsal,tst,920,543
Ift74,15.60701,1.2960188,6.5222705963755835e-55,8.153838593720458e-54,0.6961325966850829,tst,1.2960188,122.2411062122136,Ventral/Dorsal,tst,920,543
Ehd3,15.606882,1.9982871,6.535375806708075e-55,8.163961410034869e-54,0.576427255985267,tst,1.9982871,122.23986550358735,Ventral/Dorsal,tst,920,543
Slc25a27,15.606241,1.3038918,6.601296284818705e-55,8.239994795950577e-54,0.7292817679558011,tst,1.3038918,122.23059530931668,Ventral/Dorsal,tst,920,543
Timm22,15.605729,1.4388533,6.654509132079354e-55,8.300061811106169e-54,0.6464088397790055,tst,1.4388533,122.22333205978242,Ventral/Dorsal,tst,920,543
Mvb12a,15.603744,2.1462955,6.864774917925627e-55,8.555776812845839e-54,0.574585635359116,tst,2.1462955,122.19298831625368,Ventral/Dorsal,tst,920,543
Nck2,15.601438,1.3201542,7.117271221449911e-55,8.863694075788882e-54,0.6961325966850829,tst,1.3201542,122.15763140537959,Ventral/Dorsal,tst,920,543
Hspa1a,15.599004,1.8584293,7.393834870348562e-55,9.201091302016966e-54,0.8232044198895028,tst,1.8584293,122.12027292487379,Ventral/Dorsal,tst,920,543
Rasl10b,15.59862,1.2491394,7.438470664438861e-55,9.249576565345715e-54,0.6703499079189686,tst,1.2491394,122.1150172479213,Ventral/Dorsal,tst,920,543
Zfp644,15.595098,1.1376418,7.860342992332268e-55,9.766715812576268e-54,0.7458563535911602,tst,1.1376418,122.06061476233182,Ventral/Dorsal,tst,920,543
mt-Nd2,-15.593688,-0.43788332,8.035689208440338e-55,9.969391588736255e-54,0.994475138121547,tst,0.43788332,122.04007546376575,Ventral/Dorsal,tst,920,543
Fubp1,15.593688,1.5928917,8.035689208440338e-55,9.969391588736255e-54,0.9502762430939227,tst,1.5928917,122.04007546376575,Ventral/Dorsal,tst,920,543
Hsdl1,15.592407,1.6538867,8.198472849980467e-55,1.0163612501930158e-53,0.6095764272559853,tst,1.6538867,122.02078108151144,Ventral/Dorsal,tst,920,543
Klf13,15.590935,1.3794526,8.389737861516136e-55,1.0392819651856843e-53,0.7587476979742173,tst,1.3794526,121.99847987207016,Ventral/Dorsal,tst,920,543
Lhfpl4,15.590037,1.3522818,8.508329096574685e-55,1.053172216646625e-53,0.6611418047882136,tst,1.3522818,121.9852031603329,Ventral/Dorsal,tst,920,543
Dnajc3,15.589205,1.2653748,8.619943835473897e-55,1.066178485628949e-53,0.7090239410681399,tst,1.2653748,121.97292918203246,Ventral/Dorsal,tst,920,543
Ncald,15.585362,1.9457046,9.154283307884007e-55,1.1314111181586433e-53,0.9686924493554327,tst,1.9457046,121.91354429790226,Ventral/Dorsal,tst,920,543
Htatsf1,15.580687,1.6071951,9.849064072802995e-55,1.21635941299117e-53,0.6261510128913443,tst,1.6071951,121.84114761891857,Ventral/Dorsal,tst,920,543
Brd1,15.579535,1.378625,1.0028300970720254e-54,1.2375576262277183e-53,0.6574585635359116,tst,1.378625,121.82387014765925,Ventral/Dorsal,tst,920,543
Kcna2,15.576076,1.6613094,1.0585737024687273e-54,1.3053607033014517e-53,0.8931860036832413,tst,1.6613094,121.7705305251042,Ventral/Dorsal,tst,920,543
Chchd3,15.574731,1.1912725,1.0810758319107815e-54,1.332101149796641e-53,0.8250460405156538,tst,1.1912725,121.75025242116362,Ventral/Dorsal,tst,920,543
Ndufs1,15.57345,1.2997478,1.1029491390490923e-54,1.3580269535331042e-53,0.8397790055248618,tst,1.2997478,121.73097705178236,Ventral/Dorsal,tst,920,543
Stk16,15.57313,1.4589014,1.1084859861697396e-54,1.3638142299274789e-53,0.6316758747697975,tst,1.4589014,121.72672457360638,Ventral/Dorsal,tst,920,543
Srsf7,15.568902,1.2294424,1.1842199323912698e-54,1.4558939168810317e-53,0.8360957642725598,tst,1.2294424,121.6613898408493,Ventral/Dorsal,tst,920,543
Xrn2,15.564227,1.131212,1.2740007774130598e-54,1.565091233864936e-53,0.7255985267034991,tst,1.131212,121.58906580999215,Ventral/Dorsal,tst,920,543
Rbm4b,15.563715,1.3945286,1.2842429234062266e-54,1.5764855525126738e-53,0.6390423572744015,tst,1.3945286,121.58181189300338,Ventral/Dorsal,tst,920,543
Rrp1,15.56365,1.9202276,1.2855289440466112e-54,1.5768768130811026e-53,0.9576427255985267,tst,1.9202276,121.5815637384781,Ventral/Dorsal,tst,920,543
Flywch1,15.556926,1.6578124,1.427950592209906e-54,1.7502594401658562e-53,0.9263351749539595,tst,1.6578124,121.47724590021382,Ventral/Dorsal,tst,920,543
Poldip2,15.556669,1.7994606,1.4336763797399754e-54,1.7559573510534245e-53,0.5911602209944752,tst,1.7994606,121.47399572132144,Ventral/Dorsal,tst,920,543
Calr,15.555388,1.509509,1.4626501184550881e-54,1.7900992665957092e-53,0.8895027624309392,tst,1.509509,121.45473885417067,Ventral/Dorsal,tst,920,543
Higd2a,15.555132,1.8325793,1.468514467979991e-54,1.7959281963248173e-53,0.9410681399631676,tst,1.8325793,121.45148793937823,Ventral/Dorsal,tst,920,543
Srm,15.554364,1.9055142,1.4862483862504853e-54,1.8162534627177968e-53,0.585635359116022,tst,1.9055142,121.44023408626342,Ventral/Dorsal,tst,920,543
Ube2r2,15.553596,1.1854905,1.504195576059539e-54,1.8368087101814684e-53,0.7587476979742173,tst,1.1854905,121.42898025951125,Ventral/Dorsal,tst,920,543
Gm26782,15.552955,1.517547,1.5193163250811964e-54,1.8538843361881483e-53,0.6427255985267035,tst,1.517547,121.41972684957739,Ventral/Dorsal,tst,920,543
Camk1d,-15.550009,-2.9882443,1.5908449246289339e-54,1.939712338167605e-53,0.6777163904235728,tst,2.9882443,121.37447024589869,Ventral/Dorsal,tst,920,543
Slc25a39,15.54924,1.7444807,1.610049802323133e-54,1.9616615752968397e-53,0.5911602209944752,tst,1.7444807,121.36321807207433,Ventral/Dorsal,tst,920,543
Wrnip1,15.545653,1.579374,1.7027704043934056e-54,2.0730816379702238e-53,0.6077348066298343,tst,1.579374,121.30797371444798,Ventral/Dorsal,tst,920,543
Neurl1a,15.544629,1.7262228,1.7302255605380474e-54,2.104935603573974e-53,0.585635359116022,tst,1.7262228,121.2927250541444,Ventral/Dorsal,tst,920,543
Zbtb8os,15.543347,1.7436073,1.7651652649362493e-54,2.145840726994089e-53,0.5966850828729282,tst,1.7436073,121.27347850577914,Ventral/Dorsal,tst,920,543
Crbn,15.542963,1.8087788,1.7757835523678867e-54,2.1571403480403345e-53,0.5893186003683242,tst,1.8087788,121.26822649707964,Ventral/Dorsal,tst,920,543
Pianp,15.542451,1.448922,1.790040285191344e-54,2.1728396671027026e-53,0.6224677716390423,tst,1.448922,121.2609750142544,Ventral/Dorsal,tst,920,543
Gcc2,15.541042,1.3340205,1.8298367808959763e-54,2.219493988256414e-53,0.8637200736648251,tst,1.3340205,121.23973069199879,Ventral/Dorsal,tst,920,543
Ccdc47,15.540658,1.1970782,1.8408424730347426e-54,2.2295255568657036e-53,0.7753222836095764,tst,1.1970782,121.23522112061664,Ventral/Dorsal,tst,920,543
Ost4,15.540658,1.6015992,1.8408424730347426e-54,2.2295255568657036e-53,0.9134438305709024,tst,1.6015992,121.23522112061664,Ventral/Dorsal,tst,920,543
Gzf1,15.538609,1.5954729,1.9006624906990778e-54,2.300267254890599e-53,0.6316758747697975,tst,1.5954729,121.20398461472124,Ventral/Dorsal,tst,920,543
