group,gene,mean_expr,pct_expr,mean_expr_scaled
Astrocytes,C1qa,0.16701996,6.864138,0.011427214
Astrocytes,C1qb,0.18119574,7.4518213,0.012492786
Astrocytes,C1qc,0.102063484,4.3253465,0.00437132
Astrocytes,Mrc1,0.0021250471,0.11753643,0.0
Astrocytes,Apoe,3.1734996,80.513954,0.71536314
Endothelial,Snap25,0.406605,18.459347,0.07076591
Endothelial,Celf4,0.28680378,13.081103,0.0652723
Endothelial,Slc17a6,0.15049565,7.0917645,0.062610045
Endothelial,Tac2,0.37163,17.148308,0.056220643
Endothelial,Gap43,0.09945545,4.633482,0.040367085
Endothelial,Mog,0.15084803,6.570302,0.040787328
Endothelial,Olig1,0.14562424,6.4064136,0.02051725
Endothelial,Gpr17,0.012406923,0.58104897,0.019407505
Endothelial,Pdgfra,0.028162494,1.2961847,0.012176657
Endothelial,Col3a1,0.001761433,0.10429082,0.002929387
Endothelial,Slc6a11,0.11795612,5.303917,0.006031138
Endothelial,Slc6a1,0.0826167,3.7395687,0.022742435
Endothelial,Slc4a4,0.22200719,9.997055,0.007917525
Endothelial,Cldn5,2.165529,70.92003,0.9999996
Endothelial,Abcc9,0.02570243,1.4451711,0.028097512
Endothelial,Pdgfrb,0.045539353,2.324196,0.030752592
Endothelial,Cx3cr1,0.047547303,2.6072721,0.018744502
Endothelial,C1qa,0.19695477,8.477365,0.02095308
Endothelial,C1qb,0.20554568,8.775343,0.019946316
Endothelial,C1qc,0.11354551,4.8867574,0.0085558
Endothelial,Mrc1,0.007984666,0.3426699,0.0042811264
Endothelial,Apoe,1.8389966,69.38521,0.24883391
Pericytes,Snap25,0.45646518,20.000053,0.12568654
Pericytes,Celf4,0.338256,15.228912,0.13092384
Pericytes,Slc17a6,0.14690877,6.6505895,0.054822836
Pericytes,Tac2,0.41575906,17.975933,0.10504579
Pericytes,Gap43,0.095678344,4.096382,0.031305462
Pericytes,Mog,0.17569631,7.084323,0.05394132
Pericytes,Olig1,0.15094647,6.602397,0.022938376
Pericytes,Gpr17,0.011092796,0.48192772,0.016703838
Pericytes,Pdgfra,0.023712354,1.060241,0.006434175
Pericytes,Col3a1,0.057359535,2.8433735,0.14474428
Pericytes,Slc6a11,0.12041331,5.1084266,0.007770292
Pericytes,Slc6a1,0.08492961,3.759034,0.025599493
Pericytes,Slc4a4,0.2350983,10.602382,0.013452013
Pericytes,Cldn5,0.08007393,3.4698784,0.025011456
Pericytes,Abcc9,0.80805314,32.433933,0.99999875
Pericytes,Pdgfrb,1.2473456,49.253407,0.9999992
Pericytes,Cx3cr1,0.041680653,2.0240965,0.013314353
Pericytes,C1qa,0.19079731,8.096367,0.018993651
Pericytes,C1qb,0.20359807,8.433715,0.019350152
Pericytes,C1qc,0.13242118,5.5903525,0.0154348025
Pericytes,Mrc1,0.009972403,0.6746988,0.0057333973
Pericytes,Apoe,1.2918247,50.747353,0.057547934
Macrophages,Snap25,0.4167801,18.663574,0.08197372
Macrophages,Celf4,0.28998932,13.248852,0.06933696
Macrophages,Slc17a6,0.17426693,8.410138,0.11421819
Macrophages,Tac2,0.4291977,18.77878,0.11991454
Macrophages,Gap43,0.10039056,4.608293,0.04261049
Macrophages,Mog,0.16800249,7.3732696,0.049868423
Macrophages,Olig1,0.17469555,7.7188926,0.033742025
Macrophages,Gpr17,0.002973834,0.23041475,0.0
Macrophages,Pdgfra,0.03334158,1.497696,0.018859772
Macrophages,Col3a1,0.003214958,0.115207374,0.006636914
Macrophages,Slc6a11,0.10943492,4.608293,0.0
Macrophages,Slc6a1,0.07283676,3.341014,0.010661584
Macrophages,Slc4a4,0.21629183,9.677422,0.0055012633
Macrophages,Cldn5,0.14517196,5.99078,0.055445965
Macrophages,Abcc9,0.003084793,0.115207374,0.0
Macrophages,Pdgfrb,0.03111972,1.2672813,0.019123279
Macrophages,Cx3cr1,0.27319214,13.133645,0.2276005
Macrophages,C1qa,2.03901,60.829556,0.6071325
Macrophages,C1qb,2.037022,62.096863,0.5805623
Macrophages,C1qc,1.8507288,58.17973,0.64165044
Macrophages,Mrc1,1.3708336,45.967594,0.9999993
Macrophages,Apoe,3.9877,87.558235,0.99999964
Microglia,Snap25,0.3777401,15.526191,0.03897141
Microglia,Celf4,0.25496903,10.65226,0.024652079
Microglia,Slc17a6,0.14126419,5.959217,0.04256827
Microglia,Tac2,0.36739242,15.07397,0.051532097
Microglia,Gap43,0.104763895,4.401569,0.05310251
Microglia,Mog,0.105905965,4.321174,0.016996244
Microglia,Olig1,0.12866159,5.3864045,0.012800806
Microglia,Gpr17,0.008349412,0.3416743,0.011059639
Microglia,Pdgfra,0.023382401,0.9647277,0.006008403
Microglia,Col3a1,0.00061297556,0.030147724,0.0
Microglia,Slc6a11,0.1223601,5.105023,0.0091481935
Microglia,Slc6a1,0.064205766,2.7333848,0.0
Microglia,Slc4a4,0.2153409,8.722786,0.0050992407
Microglia,Cldn5,0.042958613,1.7385182,0.0076593733
Microglia,Abcc9,0.0051035453,0.23113254,0.0025078622
Microglia,Pdgfrb,0.011688885,0.50246227,0.0034524733
Microglia,Cx3cr1,1.1076798,39.745106,0.9999991
Microglia,C1qa,3.273586,84.88676,0.9999997
Microglia,C1qb,3.4072824,85.87159,0.9999997
Microglia,C1qc,2.8340228,79.81184,0.99999964
Microglia,Mrc1,0.013256193,0.65320104,0.008132584
Microglia,Apoe,1.7418797,56.47726,0.21488278
